,Puy_NS,Tac_NS,Pich_NS,Puy_S,Tac_S,Pich_S
Acetobacteraceae,479,1560,401,0,0,0
Brucellaceae,12,59,330,0,0,0
Comamonadaceae,881,458,236,2560,689,356
Cryomorphaceae,125,66,463,0,0,0
Cytophagaceae,26,88,21,0,0,0
Erythrobacteraceae,422,111,36,0,0,0
Flavobacteriaceae,1120,1043,551,0,0,0
Gemmataceae,156,227,109,0,0,0
Hyphomicrobiaceae,42,11,49,0,0,0
Moraxellaceae,23,104,336,1156,263,567
Pirellulaceae,780,556,160,0,0,0
Planctomycetaceae,67,50,156,0,0,0
Pseudomonadaceae,12,56,98,89,201,336
Rhodobacteraceae,45,88,23,412,598,786
Saprospiraceae,46,22,13,0,0,0
Xanthomonadaceae,79,62,110,421,365,124
Campylobacteraceae,0,0,0,1156,1220,456
Clostridiaceae,0,0,0,578,420,149
Enterobacteriaceae,0,0,0,512,880,470
Halothiobacillaceae,0,0,0,56,447,230
Helicobacteraceae,0,0,0,12,49,776
Neisseriaceae,0,0,0,465,76,112
Sphingomonadaceae,0,0,0,102,663,48
