Nonsulfidic_environment,Sulfidic_environment,Puy_NS,Tac_NS,Pich_NS,Puy_S,Tac_S,Pich_S
Acetobacteraceae,Campylobacteraceae,Acetobacteraceae,Acetobacteraceae,Acetobacteraceae,Chlorobiaceae,Campylobacteraceae,Campylobacteraceae
Brucellaceae,Clostridiaceae,Brucellaceae,Brucellaceae,Brucellaceae,Bradyrhizobiaceae,Clostridiaceae,Clostridiaceae
Comamonadaceae,Comamonadaceae,Comamonadaceae,Comamonadaceae,Comamonadaceae,Methylobacteriaceae,Comamonadaceae,Comamonadaceae
Cryomorphaceae,Enterobacteriaceae,Cryomorphaceae,Cryomorphaceae,Cryomorphaceae,Flavobacteriaceae,Enterobacteriaceae,Enterobacteriaceae
Cytophagaceae,Halothiobacillaceae,Cytophagaceae,Cytophagaceae,Cytophagaceae,Acidithiobacillaceae,Halothiobacillaceae,Halothiobacillaceae
Erythrobacteraceae,Helicobacteraceae,Erythrobacteraceae,Erythrobacteraceae,Erythrobacteraceae,Chromatiaceae,Helicobacteraceae,Helicobacteraceae
Flavobacteriaceae,Moraxellaceae,Flavobacteriaceae,Flavobacteriaceae,Flavobacteriaceae,Mycobacteriaceae,Moraxellaceae,Moraxellaceae
Gemmataceae,Neisseriaceae,Gemmataceae,Gemmataceae,Gemmataceae,Acetobacteraceae,Neisseriaceae,Neisseriaceae
Hyphomicrobiaceae,Pseudomonadaceae,Hyphomicrobiaceae,Hyphomicrobiaceae,Hyphomicrobiaceae,Rhizobiaceae,Pseudomonadaceae,Pseudomonadaceae
Moraxellaceae,Rhodobacteraceae,Moraxellaceae,Moraxellaceae,Moraxellaceae,Weeksellaceae,Rhodobacteraceae,Rhodobacteraceae
Pirellulaceae,Sphingomonadaceae,Pirellulaceae,Pirellulaceae,Pirellulaceae,Campylobacteraceae,Sphingomonadaceae,Sphingomonadaceae
Planctomycetaceae,Xanthomonadaceae,Planctomycetaceae,Planctomycetaceae,Planctomycetaceae,Clostridiaceae,Xanthomonadaceae,Xanthomonadaceae
Pseudomonadaceae,,Pseudomonadaceae,Pseudomonadaceae,Pseudomonadaceae,Comamonadaceae,Bradyrhizobiaceae,Acetobacteraceae
Rhodobacteraceae,,Rhodobacteraceae,Rhodobacteraceae,Rhodobacteraceae,Enterobacteriaceae,Methylobacteriaceae,Rhizobiaceae
Saprospiraceae,,Saprospiraceae,Saprospiraceae,Saprospiraceae,Halothiobacillaceae,Flavobacteriaceae,Weeksellaceae
Xanthomonadaceae,,Xanthomonadaceae,Xanthomonadaceae,Xanthomonadaceae,Helicobacteraceae,Acidithiobacillaceae,Rhodospirillaceae
,,Helicobacteraceae,Clostridiaceae,Chitinophagaceae,Moraxellaceae,Chromatiaceae,Lachnospiraceae
,,Thiotrichaceae,Chromatiaceae,Hyphomonadaceae,Neisseriaceae,Mycobacteriaceae,Brucellaceae
,,Campylobacteraceae,Chitinophagaceae,Rhizobiaceae,Pseudomonadaceae,Propionibacteriaceae,Aeromonadaceae
,,Bradyrhizobiaceae,Hyphomonadaceae,Oxalobacteraceae,Rhodobacteraceae,Alicyclobacillaceae,Shewanellaceae
,,Clostridiaceae,Rhizobiaceae,Methylophilaceae,Sphingomonadaceae,Porphyromonadaceae,Bacteroidaceae
,,Chromatiaceae,Oxalobacteraceae,Rhodospirillaceae,Xanthomonadaceae,Bacillaceae,Phormidiaceae
,,,Methylophilaceae,Mycobacteriaceae,,Peptostreptococcaceae,Rhodocyclaceae
,,,Rhodospirillaceae,Sphingomonadaceae,,Thiotrichaceae,Xenococcaceae
,,,Mycobacteriaceae,Caulobacteraceae,,Rhodospirillaceae,
,,,Sphingomonadaceae,Chlamydomonadaceae,,Lachnospiraceae,
,,,Caulobacteraceae,Sinobacteraceae,,Brucellaceae,
,,,ACK-M1,Weeksellaceae,,Aeromonadaceae,
,,,,Microbacteriaceae,,Shewanellaceae,
