Plot,G,T,S,Time,Sampling,Flowering,DW_mg
101,1,1,1,1,7/20/2017,7/8/2017,28.2436
102,2,2,2,1,7/20/2017,7/7/2017,39.0236
103,3,3,3,1,7/20/2017,7/8/2017,25.0096
104,1,2,4,1,7/20/2017,7/9/2017,37.0832
105,2,3,5,1,7/20/2017,7/8/2017,24.255
106,2,1,6,1,7/20/2017,7/10/2017,17.1402
107,3,3,7,1,7/20/2017,7/7/2017,35.6818
108,1,1,8,1,7/20/2017,7/6/2017,36.4364
109,3,2,9,1,7/20/2017,7/5/2017,51.6362
201,2,1,1,1,7/20/2017,7/8/2017,19.2962
202,3,2,2,1,7/20/2017,7/7/2017,38.3768
203,1,3,3,1,7/20/2017,7/8/2017,22.4224
204,2,2,4,1,7/20/2017,7/9/2017,22.9614
205,3,3,5,1,7/20/2017,7/10/2017,16.6012
206,1,1,6,1,7/20/2017,7/7/2017,41.9342
207,2,3,7,1,7/20/2017,7/9/2017,21.021
208,3,1,8,1,7/20/2017,7/8/2017,32.9868
209,1,2,9,1,7/20/2017,7/5/2017,56.056
301,3,1,1,1,7/20/2017,7/6/2017,44.4136
302,1,2,2,1,7/20/2017,7/8/2017,30.6152
303,2,3,3,1,7/20/2017,7/11/2017,11.319
304,3,2,4,1,7/20/2017,7/6/2017,43.7668
305,1,3,5,1,7/20/2017,7/8/2017,22.9614
306,3,1,6,1,7/20/2017,7/10/2017,18.2182
307,1,3,7,1,7/20/2017,7/8/2017,33.6336
308,2,1,8,1,7/20/2017,7/10/2017,15.9544
309,2,2,9,1,7/20/2017,7/8/2017,41.0718
101,1,1,1,2,7/25/2017,7/9/2017,59.7652
102,2,2,2,2,7/25/2017,7/5/2017,92.8532
103,3,3,3,2,7/25/2017,7/7/2017,72.7936
104,1,2,4,2,7/25/2017,7/5/2017,91.9226
105,2,3,5,2,7/25/2017,7/10/2017,56.7666
106,2,1,6,2,7/25/2017,7/8/2017,64.4182
107,3,3,7,2,7/25/2017,7/6/2017,87.9934
108,1,1,8,2,7/25/2017,7/6/2017,82.6166
109,3,2,9,2,7/25/2017,7/5/2017,111.0516
201,2,1,1,2,7/25/2017,7/10/2017,43.3246
202,3,2,2,2,7/25/2017,7/8/2017,83.0302
203,1,3,3,2,7/25/2017,7/8/2017,77.1364
204,2,2,4,2,7/25/2017,7/8/2017,75.6888
205,3,3,5,2,7/25/2017,7/10/2017,62.7638
206,1,1,6,2,7/25/2017,7/6/2017,92.2328
207,2,3,7,2,7/25/2017,7/8/2017,68.8644
208,3,1,8,2,7/25/2017,7/6/2017,101.0218
209,1,2,9,2,7/25/2017,7/5/2017,118.7032
301,3,1,1,2,7/25/2017,7/6/2017,85.4084
302,1,2,2,2,7/25/2017,7/7/2017,82.203
303,2,3,3,2,7/25/2017,7/11/2017,39.3954
304,3,2,4,2,7/25/2017,7/5/2017,102.1592
305,1,3,5,2,7/25/2017,7/8/2017,77.7568
306,3,1,6,2,7/25/2017,7/9/2017,61.8332
307,1,3,7,2,7/25/2017,7/9/2017,75.6888
308,2,1,8,2,7/25/2017,7/7/2017,84.8914
309,2,2,9,2,7/25/2017,7/8/2017,70.4154
101,1,1,1,3,7/28/2017,7/8/2017,112.2375
102,2,2,2,3,7/28/2017,7/8/2017,112.955
103,3,3,3,3,7/28/2017,7/8/2017,88.2525
104,1,2,4,3,7/28/2017,7/7/2017,117.055
105,2,3,5,3,7/28/2017,7/7/2017,80.2575
106,2,1,6,3,7/28/2017,7/10/2017,82.82
107,3,3,7,3,7/28/2017,7/7/2017,117.1575
108,1,1,8,3,7/28/2017,7/8/2017,108.855
109,3,2,9,3,7/28/2017,7/5/2017,124.1275
201,2,1,1,3,7/28/2017,7/8/2017,99.63
202,3,2,2,3,7/28/2017,7/8/2017,93.275
203,1,3,3,3,7/28/2017,7/9/2017,88.355
204,2,2,4,3,7/28/2017,7/8/2017,102.5
205,3,3,5,3,7/28/2017,7/8/2017,67.9575
206,1,1,6,3,7/28/2017,7/8/2017,118.285
207,2,3,7,3,7/28/2017,7/9/2017,83.64
208,3,1,8,3,7/28/2017,7/8/2017,99.1175
209,1,2,9,3,7/28/2017,7/5/2017,146.985
301,3,1,1,3,7/28/2017,7/8/2017,103.6275
302,1,2,2,3,7/28/2017,7/5/2017,120.8475
303,2,3,3,3,7/28/2017,7/8/2017,95.53
304,3,2,4,3,7/28/2017,7/5/2017,141.1425
305,1,3,5,3,7/28/2017,7/8/2017,101.885
306,3,1,6,3,7/28/2017,7/8/2017,92.3525
307,1,3,7,3,7/28/2017,7/9/2017,95.8375
308,2,1,8,3,7/28/2017,7/7/2017,117.9775
309,2,2,9,3,7/28/2017,7/8/2017,94.505
101,1,1,1,4,8/1/2017,7/8/2017,133.665917
102,2,2,2,4,8/1/2017,7/8/2017,122.637713
103,3,3,3,4,8/1/2017,7/12/2017,96.598898
104,1,2,4,4,8/1/2017,7/6/2017,139.077906
105,2,3,5,4,8/1/2017,7/11/2017,82.71153
106,2,1,6,4,8/1/2017,7/11/2017,78.933349
107,3,3,7,4,8/1/2017,7/8/2017,124.475747
108,1,1,8,4,8/1/2017,7/8/2017,143.570878
109,3,2,9,4,8/1/2017,7/5/2017,159.602619
201,2,1,1,4,8/1/2017,7/8/2017,147.961737
202,3,2,2,4,8/1/2017,7/13/2017,116.817272
