"Plot Title: HNT Field"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20042964, SEN S/N: 20042964)","RH, % (LGR S/N: 20042964, SEN S/N: 20042964)","Host Connected (LGR S/N: 20042964)","Stopped (LGR S/N: 20042964)","End Of File (LGR S/N: 20042964)"
1,05/16/18 04:07:26 PM,21.752,52.046,,,
2,05/16/18 04:12:26 PM,22.062,51.367,,,
3,05/16/18 04:17:26 PM,21.752,51.733,,,
4,05/16/18 04:22:26 PM,22.469,53.774,,,
5,05/16/18 04:27:26 PM,23.381,51.546,,,
6,05/16/18 04:32:26 PM,27.363,60.110,,,
7,05/16/18 04:37:26 PM,30.755,60.640,,,
8,05/16/18 04:42:26 PM,33.113,43.626,,,
9,05/16/18 04:47:26 PM,33.477,40.930,,,
10,05/16/18 04:52:26 PM,34.633,38.354,,,
11,05/16/18 04:57:26 PM,35.913,33.283,,,
12,05/16/18 05:02:26 PM,36.670,34.487,,,
13,05/16/18 05:07:26 PM,36.588,31.959,,,
14,05/16/18 05:12:26 PM,36.399,33.188,,,
15,05/16/18 05:17:26 PM,35.484,34.790,,,
16,05/16/18 05:22:26 PM,35.431,34.477,,,
17,05/16/18 05:27:26 PM,35.350,34.744,,,
18,05/16/18 05:32:26 PM,35.111,34.859,,,
19,05/16/18 05:37:26 PM,34.712,34.103,,,
20,05/16/18 05:42:26 PM,34.448,35.208,,,
21,05/16/18 05:47:26 PM,35.190,33.906,,,
22,05/16/18 05:52:26 PM,35.645,30.078,,,
23,05/16/18 05:57:26 PM,36.372,31.144,,,
24,05/16/18 06:02:26 PM,36.588,29.423,,,
25,05/16/18 06:07:26 PM,36.915,31.640,,,
26,05/16/18 06:12:26 PM,36.453,31.463,,,
27,05/16/18 06:17:26 PM,35.645,28.163,,,
28,05/16/18 06:22:26 PM,35.779,32.098,,,
29,05/16/18 06:27:26 PM,35.940,31.870,,,
30,05/16/18 06:32:26 PM,33.974,30.841,,,
31,05/16/18 06:37:26 PM,33.582,31.188,,,
32,05/16/18 06:42:26 PM,33.922,31.044,,,
33,05/16/18 06:47:26 PM,32.983,31.309,,,
34,05/16/18 06:52:26 PM,33.009,31.655,,,
35,05/16/18 06:57:26 PM,33.712,36.568,,,
36,05/16/18 07:02:26 PM,34.053,32.501,,,
37,05/16/18 07:07:26 PM,33.817,38.880,,,
38,05/16/18 07:12:26 PM,34.132,35.860,,,
39,05/16/18 07:17:26 PM,34.158,37.188,,,
40,05/16/18 07:22:26 PM,33.922,34.818,,,
41,05/16/18 07:27:26 PM,33.582,37.640,,,
42,05/16/18 07:32:26 PM,33.165,36.956,,,
