"Plot Title: Ambient HNT Field"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10689813, SEN S/N: 10689813)","RH, % (LGR S/N: 10689813, SEN S/N: 10689813)","Host Connected (LGR S/N: 10689813)","Button Down (LGR S/N: 10689813)","Button Up (LGR S/N: 10689813)","Stopped (LGR S/N: 10689813)","End Of File (LGR S/N: 10689813)"
1,05/24/18 10:37:16 AM,27.265,59.348,,,,,
2,05/24/18 10:42:16 AM,27.560,59.227,,,,,
3,05/24/18 10:47:16 AM,27.757,57.493,,,,,
4,05/24/18 10:52:16 AM,27.955,58.016,,,,,
5,05/24/18 10:57:16 AM,27.782,57.842,,,,,
6,05/24/18 11:02:16 AM,27.733,57.562,,,,,
7,05/24/18 11:07:16 AM,28.103,57.348,,,,,
8,05/24/18 11:12:16 AM,28.103,56.802,,,,,
9,05/24/18 11:17:16 AM,28.202,57.695,,,,,
10,05/24/18 11:22:16 AM,28.326,57.947,,,,,
11,05/24/18 11:27:16 AM,29.171,57.210,,,,,
12,05/24/18 11:32:16 AM,29.396,56.100,,,,,
13,05/24/18 11:37:16 AM,29.521,53.486,,,,,
14,05/24/18 11:42:16 AM,30.123,54.022,,,,,
15,05/24/18 11:47:16 AM,29.396,50.865,,,,,
16,05/24/18 11:52:16 AM,29.296,53.230,,,,,
17,05/24/18 11:57:16 AM,29.221,53.997,,,,,
18,05/24/18 12:02:16 PM,29.596,53.455,,,,,
19,05/24/18 12:07:16 PM,29.571,51.545,,,,,
20,05/24/18 12:12:16 PM,29.847,51.351,,,,,
21,05/24/18 12:17:16 PM,29.872,51.001,,,,,
22,05/24/18 12:22:16 PM,30.476,55.136,,,,,
23,05/24/18 12:27:16 PM,30.653,50.036,,,,,
24,05/24/18 12:32:16 PM,30.679,49.038,,,,,
25,05/24/18 12:37:16 PM,31.008,48.575,,,,,
26,05/24/18 12:42:16 PM,31.568,44.963,,,,,
27,05/24/18 12:47:16 PM,31.722,44.158,,,,,
28,05/24/18 12:52:16 PM,31.364,45.976,,,,,
