"Plot Title: HDT"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20042961, SEN S/N: 20042961)","RH, % (LGR S/N: 20042961, SEN S/N: 20042961)","Host Connected (LGR S/N: 20042961)","Stopped (LGR S/N: 20042961)","End Of File (LGR S/N: 20042961)"
1,11/17/18 12:35:23 PM,22.373,33.885,,,
2,11/17/18 12:50:23 PM,28.773,52.119,,,
3,11/17/18 01:05:23 PM,29.772,50.098,,,
4,11/17/18 01:20:23 PM,29.897,49.274,,,
5,11/17/18 01:35:23 PM,29.872,49.335,,,
6,11/17/18 01:50:23 PM,29.922,49.212,,,
7,11/17/18 02:05:23 PM,29.872,49.238,,,
8,11/17/18 02:20:23 PM,29.897,49.824,,,
9,11/17/18 02:35:23 PM,29.897,49.338,,,
10,11/17/18 02:50:23 PM,29.897,49.112,,,
11,11/17/18 03:05:23 PM,29.947,48.729,,,
12,11/17/18 03:20:23 PM,29.872,48.687,,,
13,11/17/18 03:35:23 PM,29.897,48.496,,,
14,11/17/18 03:50:23 PM,29.922,48.531,,,
15,11/17/18 04:05:23 PM,29.947,48.502,,,
16,11/17/18 04:20:23 PM,29.897,48.820,,,
17,11/17/18 04:35:23 PM,29.897,48.366,,,
18,11/17/18 04:50:23 PM,29.897,49.015,,,
19,11/17/18 05:05:23 PM,29.872,48.525,,,
20,11/17/18 05:20:23 PM,29.947,48.015,,,
21,11/17/18 05:35:23 PM,29.922,48.466,,,
22,11/17/18 05:50:23 PM,29.897,48.171,,,
23,11/17/18 06:05:23 PM,29.146,48.595,,,
24,11/17/18 06:20:23 PM,27.881,50.975,,,
25,11/17/18 06:35:23 PM,27.807,51.573,,,
26,11/17/18 06:50:23 PM,27.757,51.374,,,
27,11/17/18 07:05:23 PM,27.118,51.257,,,
28,11/17/18 07:20:23 PM,25.021,55.078,,,
29,11/17/18 07:35:23 PM,24.876,55.652,,,
30,11/17/18 07:50:23 PM,24.827,55.707,,,
31,11/17/18 08:05:23 PM,24.055,55.719,,,
32,11/17/18 08:20:23 PM,21.036,60.461,,,
33,11/17/18 08:35:23 PM,20.797,61.818,,,
34,11/17/18 08:50:23 PM,20.702,61.348,,,
35,11/17/18 09:05:23 PM,19.987,60.718,,,
36,11/17/18 09:20:23 PM,17.156,66.385,,,
37,11/17/18 09:35:23 PM,16.752,67.515,,,
38,11/17/18 09:50:23 PM,16.633,67.902,,,
39,11/17/18 10:05:23 PM,15.942,69.980,,,
40,11/17/18 10:20:23 PM,15.584,72.554,,,
41,11/17/18 10:35:23 PM,15.464,72.530,,,
42,11/17/18 10:50:23 PM,15.417,72.778,,,
43,11/17/18 11:05:23 PM,15.464,72.701,,,
44,11/17/18 11:20:23 PM,15.417,72.692,,,
45,11/17/18 11:35:23 PM,15.440,72.982,,,
46,11/17/18 11:50:23 PM,15.440,73.124,,,
47,11/18/18 12:05:23 AM,15.417,72.892,,,
48,11/18/18 12:20:23 AM,15.440,72.868,,,
49,11/18/18 12:35:23 AM,15.393,73.143,,,
50,11/18/18 12:50:23 AM,15.440,73.324,,,
51,11/18/18 01:05:23 AM,15.417,73.148,,,
52,11/18/18 01:20:23 AM,15.440,72.725,,,
53,11/18/18 01:35:23 AM,15.393,72.374,,,
54,11/18/18 01:50:23 AM,15.440,72.925,,,
55,11/18/18 02:05:23 AM,15.393,72.972,,,
56,11/18/18 02:20:23 AM,15.393,72.944,,,
57,11/18/18 02:35:23 AM,15.369,72.882,,,
58,11/18/18 02:50:23 AM,15.345,72.821,,,
59,11/18/18 03:05:23 AM,15.369,72.711,,,
60,11/18/18 03:20:23 AM,15.369,72.654,,,
61,11/18/18 03:35:23 AM,15.345,72.821,,,
62,11/18/18 03:50:23 AM,15.345,72.821,,,
63,11/18/18 04:05:23 AM,15.345,72.650,,,
64,11/18/18 04:20:23 AM,15.321,73.186,,,
65,11/18/18 04:35:23 AM,15.417,72.863,,,
66,11/18/18 04:50:23 AM,15.417,71.949,,,
67,11/18/18 05:05:23 AM,16.037,70.719,,,
68,11/18/18 05:20:23 AM,16.514,68.521,,,
69,11/18/18 05:35:23 AM,16.561,68.151,,,
70,11/18/18 05:50:23 AM,16.537,68.030,,,
71,11/18/18 06:05:23 AM,17.037,69.983,,,
72,11/18/18 06:20:23 AM,20.035,64.247,,,
73,11/18/18 06:35:23 AM,20.344,62.407,,,
74,11/18/18 06:50:23 AM,20.487,61.948,,,
75,11/18/18 07:05:23 AM,21.155,61.755,,,
76,11/18/18 07:20:23 AM,24.368,56.295,,,
77,11/18/18 07:35:23 AM,24.586,55.046,,,
78,11/18/18 07:50:23 AM,24.682,54.716,,,
79,11/18/18 08:05:23 AM,25.215,54.949,,,
80,11/18/18 08:20:23 AM,27.486,51.050,,,
81,11/18/18 08:35:23 AM,27.536,50.769,,,
82,11/18/18 08:50:23 AM,27.708,50.343,,,
83,11/18/18 09:05:23 AM,28.400,49.920,,,
84,11/18/18 09:20:23 AM,29.797,47.313,,,
85,11/18/18 09:35:23 AM,29.797,46.987,,,
86,11/18/18 09:50:23 AM,29.947,46.548,,,
87,11/18/18 10:05:23 AM,29.973,46.552,,,
88,11/18/18 10:20:23 AM,30.048,46.299,,,
89,11/18/18 10:35:23 AM,29.973,46.421,,,
90,11/18/18 10:50:23 AM,29.922,46.447,,,
91,11/18/18 11:05:23 AM,29.998,46.359,,,
92,11/18/18 11:20:23 AM,29.973,46.225,,,
93,11/18/18 11:35:23 AM,29.973,46.290,,,
94,11/18/18 11:50:23 AM,29.973,46.356,,,
95,11/18/18 12:05:23 PM,29.947,46.222,,,
96,11/18/18 12:20:23 PM,29.998,46.162,,,
97,11/18/18 12:35:23 PM,29.998,46.064,,,
