,Full_Date,Date,Time,Hour,Temp_C,RH,VPD
0,2018-05-25 00:02:16,2018-05-25,00:02:16,0,20.44,76.495,0.56
1,2018-05-25 00:07:16,2018-05-25,00:07:16,0,20.344,76.80199999999999,0.55
2,2018-05-25 00:12:16,2018-05-25,00:12:16,0,20.249000000000002,77.117,0.54
3,2018-05-25 00:17:16,2018-05-25,00:17:16,0,20.13,77.50399999999999,0.53
4,2018-05-25 00:22:16,2018-05-25,00:22:16,0,20.059,77.832,0.52
5,2018-05-25 00:27:16,2018-05-25,00:27:16,0,20.105999999999998,77.96,0.52
6,2018-05-25 00:32:16,2018-05-25,00:32:16,0,20.154,77.824,0.52
7,2018-05-25 00:37:16,2018-05-25,00:37:16,0,20.249000000000002,77.62100000000001,0.53
8,2018-05-25 00:42:16,2018-05-25,00:42:16,0,20.225,77.369,0.54
9,2018-05-25 00:47:16,2018-05-25,00:47:16,0,20.154,77.502,0.53
10,2018-05-25 00:52:16,2018-05-25,00:52:16,0,20.105999999999998,77.763,0.52
11,2018-05-25 00:57:16,2018-05-25,00:57:16,0,20.035,77.834,0.52
12,2018-05-25 01:02:16,2018-05-25,01:02:16,1,19.963,78.171,0.51
13,2018-05-25 01:07:16,2018-05-25,01:07:16,1,20.082,78.229,0.51
14,2018-05-25 01:12:16,2018-05-25,01:12:16,1,20.320999999999998,77.81,0.53
15,2018-05-25 01:17:16,2018-05-25,01:17:16,1,20.726,76.888,0.56
16,2018-05-25 01:22:16,2018-05-25,01:22:16,1,20.796999999999997,75.658,0.6
17,2018-05-25 01:27:16,2018-05-25,01:27:16,1,20.796999999999997,75.438,0.6
18,2018-05-25 01:32:16,2018-05-25,01:32:16,1,20.726,75.5,0.6
19,2018-05-25 01:37:16,2018-05-25,01:37:16,1,20.773000000000003,75.171,0.61
20,2018-05-25 01:42:16,2018-05-25,01:42:16,1,20.869,74.793,0.62
21,2018-05-25 01:47:16,2018-05-25,01:47:16,1,20.796999999999997,74.646,0.62
22,2018-05-25 01:52:16,2018-05-25,01:52:16,1,20.701999999999998,74.709,0.62
23,2018-05-25 01:57:16,2018-05-25,01:57:16,1,20.605999999999998,74.926,0.61
24,2018-05-25 02:02:16,2018-05-25,02:02:16,2,20.44,75.208,0.6
25,2018-05-25 02:07:16,2018-05-25,02:07:16,2,20.344,75.706,0.58
26,2018-05-25 02:12:16,2018-05-25,02:12:16,2,20.297,75.821,0.58
27,2018-05-25 02:17:16,2018-05-25,02:17:16,2,20.154,76.175,0.56
28,2018-05-25 02:22:16,2018-05-25,02:22:16,2,20.13,76.234,0.56
29,2018-05-25 02:27:16,2018-05-25,02:27:16,2,20.105999999999998,76.122,0.56
30,2018-05-25 02:32:16,2018-05-25,02:32:16,2,20.225,75.499,0.58
31,2018-05-25 02:37:16,2018-05-25,02:37:16,2,20.249000000000002,75.123,0.59
32,2018-05-25 02:42:16,2018-05-25,02:42:16,2,20.344,74.49600000000001,0.61
33,2018-05-25 02:47:16,2018-05-25,02:47:16,2,20.344,74.49600000000001,0.61
34,2018-05-25 02:52:16,2018-05-25,02:52:16,2,20.392,74.491,0.61
35,2018-05-25 02:57:16,2018-05-25,02:57:16,2,20.320999999999998,74.65,0.6
36,2018-05-25 03:02:16,2018-05-25,03:02:16,3,20.368,74.493,0.61
37,2018-05-25 03:07:16,2018-05-25,03:07:16,3,20.368,74.443,0.61
38,2018-05-25 03:12:16,2018-05-25,03:12:16,3,20.368,74.493,0.61
39,2018-05-25 03:17:16,2018-05-25,03:17:16,3,20.320999999999998,74.499,0.61
40,2018-05-25 03:22:16,2018-05-25,03:22:16,3,20.344,74.396,0.61
41,2018-05-25 03:27:16,2018-05-25,03:27:16,3,20.368,74.196,0.62
42,2018-05-25 03:32:16,2018-05-25,03:32:16,3,20.297,74.205,0.61
43,2018-05-25 03:37:16,2018-05-25,03:37:16,3,20.297,73.915,0.62
44,2018-05-25 03:42:16,2018-05-25,03:42:16,3,20.273,73.77600000000001,0.62
45,2018-05-25 03:47:16,2018-05-25,03:47:16,3,20.297,73.264,0.64
46,2018-05-25 03:52:16,2018-05-25,03:52:16,3,20.178,73.325,0.63
47,2018-05-25 03:57:16,2018-05-25,03:57:16,3,20.082,73.068,0.63
48,2018-05-25 04:02:16,2018-05-25,04:02:16,4,19.987000000000002,72.992,0.63
49,2018-05-25 04:07:16,2018-05-25,04:07:16,4,19.94,72.954,0.63
50,2018-05-25 04:12:16,2018-05-25,04:12:16,4,20.035,71.454,0.67
51,2018-05-25 04:17:16,2018-05-25,04:17:16,4,20.249000000000002,69.988,0.71
52,2018-05-25 04:22:16,2018-05-25,04:22:16,4,20.297,69.37,0.73
53,2018-05-25 04:27:16,2018-05-25,04:27:16,4,20.368,69.227,0.74
54,2018-05-25 04:32:16,2018-05-25,04:32:16,4,20.44,68.57600000000001,0.75
55,2018-05-25 04:37:16,2018-05-25,04:37:16,4,20.416,68.39399999999999,0.76
56,2018-05-25 04:42:16,2018-05-25,04:42:16,4,20.273,69.08,0.73
57,2018-05-25 04:47:16,2018-05-25,04:47:16,4,20.249000000000002,69.345,0.73
58,2018-05-25 04:52:16,2018-05-25,04:52:16,4,20.154,69.865,0.71
59,2018-05-25 04:57:16,2018-05-25,04:57:16,4,20.082,70.438,0.69
60,2018-05-25 05:02:16,2018-05-25,05:02:16,5,20.011,70.63,0.69
61,2018-05-25 05:07:16,2018-05-25,05:07:16,5,19.987000000000002,70.817,0.68
62,2018-05-25 05:12:16,2018-05-25,05:12:16,5,19.868,70.435,0.68
63,2018-05-25 05:17:16,2018-05-25,05:17:16,5,19.749000000000002,71.57300000000001,0.65
64,2018-05-25 05:22:16,2018-05-25,05:22:16,5,19.583,72.362,0.63
65,2018-05-25 05:27:16,2018-05-25,05:27:16,5,19.416,73.28699999999999,0.6
66,2018-05-25 05:32:16,2018-05-25,05:32:16,5,19.320999999999998,73.753,0.59
67,2018-05-25 05:37:16,2018-05-25,05:37:16,5,19.178,74.781,0.56
68,2018-05-25 05:42:16,2018-05-25,05:42:16,5,18.94,75.69,0.53
69,2018-05-25 05:47:16,2018-05-25,05:47:16,5,18.774,76.314,0.51
70,2018-05-25 05:52:16,2018-05-25,05:52:16,5,18.679000000000002,76.783,0.5
71,2018-05-25 05:57:16,2018-05-25,05:57:16,5,18.655,76.962,0.49
72,2018-05-25 06:02:16,2018-05-25,06:02:16,6,18.655,77.263,0.49
73,2018-05-25 06:07:16,2018-05-25,06:07:16,6,18.631,77.084,0.49
74,2018-05-25 06:12:16,2018-05-25,06:12:16,6,18.607,77.328,0.49
75,2018-05-25 06:17:16,2018-05-25,06:17:16,6,18.655,76.903,0.5
76,2018-05-25 06:22:16,2018-05-25,06:22:16,6,19.012,74.166,0.57
77,2018-05-25 06:27:16,2018-05-25,06:27:16,6,19.464000000000002,71.155,0.65
78,2018-05-25 06:32:16,2018-05-25,06:32:16,6,19.868,68.58,0.73
79,2018-05-25 06:37:16,2018-05-25,06:37:16,6,20.178,67.21,0.77
80,2018-05-25 06:42:16,2018-05-25,06:42:16,6,20.463,66.883,0.8
81,2018-05-25 06:47:16,2018-05-25,06:47:16,6,20.749000000000002,66.77600000000001,0.81
82,2018-05-25 06:52:16,2018-05-25,06:52:16,6,21.631999999999998,65.69,0.89
83,2018-05-25 06:57:16,2018-05-25,06:57:16,6,21.704,63.37,0.95
84,2018-05-25 07:02:16,2018-05-25,07:02:16,7,21.441,62.7,0.95
85,2018-05-25 07:07:16,2018-05-25,07:07:16,7,21.298000000000002,61.722,0.97
86,2018-05-25 07:12:16,2018-05-25,07:12:16,7,21.155,63.548,0.91
87,2018-05-25 07:17:16,2018-05-25,07:17:16,7,21.035999999999998,63.383,0.91
88,2018-05-25 07:22:16,2018-05-25,07:22:16,7,20.916,63.9,0.89
89,2018-05-25 07:27:16,2018-05-25,07:27:16,7,20.773000000000003,63.973,0.88
90,2018-05-25 07:32:16,2018-05-25,07:32:16,7,20.678,64.483,0.87
91,2018-05-25 07:37:16,2018-05-25,07:37:16,7,20.511,64.861,0.85
92,2018-05-25 07:42:16,2018-05-25,07:42:16,7,20.344,65.587,0.82
93,2018-05-25 07:47:16,2018-05-25,07:47:16,7,20.273,65.57600000000001,0.82
94,2018-05-25 07:52:16,2018-05-25,07:52:16,7,20.225,66.11,0.8
95,2018-05-25 07:57:16,2018-05-25,07:57:16,7,20.178,66.854,0.78
96,2018-05-25 08:02:16,2018-05-25,08:02:16,8,20.225,66.631,0.79
97,2018-05-25 08:07:16,2018-05-25,08:07:16,8,20.297,67.05,0.78
98,2018-05-25 08:12:16,2018-05-25,08:12:16,8,20.416,67.279,0.78
99,2018-05-25 08:17:16,2018-05-25,08:17:16,8,20.605999999999998,66.994,0.8
100,2018-05-25 08:22:16,2018-05-25,08:22:16,8,20.892,66.859,0.82
101,2018-05-25 08:27:16,2018-05-25,08:27:16,8,21.274,66.735,0.84
102,2018-05-25 08:32:16,2018-05-25,08:32:16,8,21.776,66.104,0.88
103,2018-05-25 08:37:16,2018-05-25,08:37:16,8,22.158,64.604,0.94
104,2018-05-25 08:42:16,2018-05-25,08:42:16,8,22.589000000000002,64.615,0.97
105,2018-05-25 08:47:16,2018-05-25,08:47:16,8,22.949,61.645,1.07
106,2018-05-25 08:52:16,2018-05-25,08:52:16,8,23.213,60.263000000000005,1.13
107,2018-05-25 08:57:16,2018-05-25,08:57:16,8,23.381,59.861000000000004,1.15
108,2018-05-25 09:02:16,2018-05-25,09:02:16,9,23.596999999999998,60.604,1.15
109,2018-05-25 09:07:16,2018-05-25,09:07:16,9,23.476999999999997,61.223,1.12
110,2018-05-25 09:12:16,2018-05-25,09:12:16,9,23.429000000000002,60.408,1.14
111,2018-05-25 09:17:16,2018-05-25,09:17:16,9,23.165,59.196000000000005,1.16
112,2018-05-25 09:22:16,2018-05-25,09:22:16,9,23.189,60.568999999999996,1.12
113,2018-05-25 09:27:16,2018-05-25,09:27:16,9,23.453000000000003,62.581,1.08
114,2018-05-25 09:32:16,2018-05-25,09:32:16,9,23.357,58.61,1.19
115,2018-05-25 09:37:16,2018-05-25,09:37:16,9,23.261,60.165,1.14
116,2018-05-25 09:42:16,2018-05-25,09:42:16,9,23.261,60.953,1.11
117,2018-05-25 09:47:16,2018-05-25,09:47:16,9,22.973000000000003,61.353,1.08
118,2018-05-25 09:52:16,2018-05-25,09:52:16,9,22.997,61.615,1.08
119,2018-05-25 09:57:16,2018-05-25,09:57:16,9,23.237,60.328,1.13
120,2018-05-25 10:02:16,2018-05-25,10:02:16,10,23.381,60.473,1.14
121,2018-05-25 10:07:16,2018-05-25,10:07:16,10,23.381,59.325,1.17
122,2018-05-25 10:12:16,2018-05-25,10:12:16,10,23.596999999999998,60.513999999999996,1.15
123,2018-05-25 10:17:16,2018-05-25,10:17:16,10,23.862,59.768,1.19
124,2018-05-25 10:22:16,2018-05-25,10:22:16,10,24.151,59.211999999999996,1.23
