MATLAB_DATE,TIMESTAMP,STATION,PRESSUREAVG,PRESSUREMAX,PRESSUREMIN,SLPAVG,TEMP2MAVG,TEMP2MMIN,TEMP2MMAX,TEMP10MAVG,TEMP10MMIN,TEMP10MMAX,RELHUM2MAVG,RELHUM2MMAX,RELHUM2MMIN,RELHUM10MAVG,RELHUM10MMAX,RELHUM10MMIN,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,WSPD2MMAX,WSPD10MAVG,WSPD10MMAX,WDIR2M,WDIR2MSTD,WDIR10M,WDIR10MSTD,SOILTMP5AVG,SOILTMP5MAX,SOILTMP5MIN,SOILTMP10AVG,SOILTMP10MAX,SOILTMP10MIN,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,SOILEC5CM,SOILEC10CM,SOILEC20CM,SOILEC50CM,SOILKA5CM,SOILKA10CM,SOILKA20CM,SOILKA50CM,SOILPA5CM,SOILPA10CM,SOILPA20CM,SOILPA50CM,SOILVR5CM,SOILVR10CM,SOILVR20CM,SOILVR50CM,VWC5CM,VWC10CM,VWC20CM,VWC50CM
737151,2018-04-01 00:00:00,Colby,90.93,91.42,90.15,102.38,3.17,-2.33,9.63,3.19,-2.33,9.63,59.78,89.98,41.37,59.99,89.98,41.37,0.31,0,263.49,22.77,4.47,12.8,5.48,13.92,22.5,43.28,18.9,45.67,8.37,12.09,6.18,8.1,9.62,6.89,8.36,8.1,7.83,6.88,0.33903,0.44442,0.50233,0.55512,21.89,25.92,27.6,29.42,1.7981,1.8708,1.9018,1.9441,1.4331,1.5609,1.6467,1.7096,0.3678,0.4092,0.4244,0.4395
737152,2018-04-02 00:00:00,Colby,90.92,91.37,90.2,102.73,-1.75,-5.7,3.49,-1.99,-5.7,3.49,57.72,77.71,40.3,58.91,77.71,40.3,0.24,0,208.85,18.04,3.47,9.76,4.17,10.86,108.16,47.23,106.95,47.22,7,10.82,4.67,7.18,8.72,5.81,7.01,7.12,7.35,6.99,0.32152,0.42944,0.49299,0.55649,21.29,25.52,27.39,29.41,1.7845,1.8626,1.8974,1.9441,1.4106,1.5419,1.6346,1.7114,0.3609,0.4055,0.4225,0.4395
737153,2018-04-03 00:00:00,Colby,89.13,90.3,88.35,100.48,7.34,-5.5,23.64,7.11,-5.5,23.64,48.8,78.39,16.55,49.37,78.39,16.55,0.82,0,261.02,22.55,6.64,12.15,7.79,13.31,157.15,36.34,154.26,35.32,7.23,11.64,3.33,6.94,9.32,4.87,7.49,7.1,6.95,6.9,0.321,0.4318,0.48902,0.55606,20.83,25.28,27.18,29.38,1.7748,1.8581,1.8934,1.9435,1.4099,1.5449,1.6295,1.7108,0.3554,0.4031,0.4207,0.4392
737154,2018-04-04 00:00:00,Colby,90.47,91.27,88.75,101.93,1.71,-6.25,7.29,1.77,-6.25,7.29,47.59,90.57,17.66,47.5,90.57,17.66,0.39,0,278.94,24.1,7.27,20.76,8.66,24.54,0.25,54.12,349.31,58.51,7.48,10.42,4.9,7.55,8.7,6.46,7.38,7.49,7.56,6.9,0.31129,0.42828,0.49336,0.55513,20.29,25.1,27.19,29.35,1.7628,1.8544,1.8939,1.943,1.3975,1.5404,1.6351,1.7097,0.3489,0.4014,0.4208,0.439
737155,2018-04-05 00:00:00,Colby,90.65,91.27,90.17,102.22,6.4,-8.02,20.13,6.79,-8.02,20.13,30.74,66.15,6.65,29.14,66.15,6.65,0.94,0,256.11,22.13,4.41,13.52,5.41,15.21,186.17,48.05,186.34,51.12,6.39,11,2.56,6.41,8.7,4.38,6.55,6.45,6.63,6.88,0.29552,0.41258,0.47648,0.55296,19.64,24.61,26.87,29.33,1.7479,1.8442,1.8871,1.9425,1.3772,1.5205,1.6132,1.7068,0.3409,0.3966,0.418,0.4388
737156,2018-04-06 00:00:00,Colby,90.39,90.61,90.17,101.63,9.45,-3.33,19.84,9.65,-3.33,19.84,34.44,63,16.96,33.67,63,16.96,0.91,0,247.91,21.42,2.53,7.27,3.13,8.41,14.9,77.26,9.83,79.03,9.13,14.6,4.65,8.22,10.81,5.86,9.21,8.37,7.61,6.8,0.30948,0.43393,0.49066,0.55136,19.26,24.63,26.97,29.3,1.7408,1.846,1.8898,1.9418,1.3952,1.5476,1.6316,1.7048,0.3361,0.3967,0.4188,0.4385
737157,2018-04-07 00:00:00,Colby,90.97,91.41,90.45,102.63,-3.33,-12.08,3.63,-3.35,-12.08,3.63,78.89,95.34,62.4,79.99,95.34,62.4,0.12,0,53.18,4.59,4.44,11.78,5.44,13.54,37.69,24.94,36.16,23.8,6.22,8.63,4.82,7.09,9.24,5.78,6.09,6.87,7.63,7.1,0.27531,0.41155,0.48945,0.55568,18.35,24.1,26.87,29.34,1.7181,1.8343,1.8878,1.9428,1.3513,1.5192,1.63,1.7104,0.3242,0.3914,0.4179,0.4389
737158,2018-04-08 00:00:00,Colby,90.8,91.35,89.86,102.83,-4.2,-13.58,3.9,-4.2,-13.58,3.9,69.9,92.2,42.75,69.38,92.2,42.75,0.17,2.54,283.55,24.5,3.58,10.9,4.19,13.5,170.36,41.91,167.54,41.73,5.16,7.72,4.08,5.65,6.66,5.04,5.23,5.67,6.21,6.96,0.26329,0.39647,0.46747,0.55296,17.96,23.75,26.57,29.3,1.7085,1.8266,1.881,1.9419,1.3359,1.5,1.6015,1.7068,0.3189,0.3879,0.4152,0.4385
737159,2018-04-09 00:00:00,Colby,89.64,90.48,89.06,100.94,8.73,-0.01,18.7,8.75,-0.01,18.7,48.3,93.41,16.36,47.62,93.41,16.36,0.72,1.27,208.24,17.99,6.11,16.86,7.29,19.03,0,96.67,343.32,97.79,6.59,11.42,3.38,6.17,8.55,4.5,6.62,6.27,6.16,6.64,0.27059,0.40458,0.4684,0.54819,17.88,23.71,26.6,29.18,1.7072,1.8263,1.8816,1.9396,1.3453,1.5103,1.6027,1.7007,0.3178,0.3874,0.4155,0.4376
737160,2018-04-10 00:00:00,Colby,91.03,91.47,90.42,102.39,7.13,0.8,13.22,7.15,0.8,13.22,57.16,88.51,30.01,57.05,88.51,30.01,0.48,0,257.67,22.26,3.27,11.02,4.02,12.31,0,80.21,349.84,80.6,8.7,13.5,5.6,7.93,10.26,6.22,8.68,8.04,7.38,6.63,0.28353,0.42628,0.48427,0.5464,17.86,24.01,26.79,29.17,1.7078,1.8337,1.8861,1.9394,1.3619,1.5379,1.6233,1.6984,0.3175,0.3905,0.4172,0.4375
