MATLAB_DATE,TIMESTAMP,STATION,PRESSUREAVG,PRESSUREMAX,PRESSUREMIN,SLPAVG,TEMP2MAVG,TEMP2MMIN,TEMP2MMAX,TEMP10MAVG,TEMP10MMIN,TEMP10MMAX,RELHUM2MAVG,RELHUM2MMAX,RELHUM2MMIN,RELHUM10MAVG,RELHUM10MMAX,RELHUM10MMIN,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,WSPD2MMAX,WSPD10MAVG,WSPD10MMAX,WDIR2M,WDIR2MSTD,WDIR10M,WDIR10MSTD,SOILTMP5AVG,SOILTMP5MAX,SOILTMP5MIN,SOILTMP10AVG,SOILTMP10MAX,SOILTMP10MIN,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,SOILEC5CM,SOILEC10CM,SOILEC20CM,SOILEC50CM,SOILKA5CM,SOILKA10CM,SOILKA20CM,SOILKA50CM,SOILPA5CM,SOILPA10CM,SOILPA20CM,SOILPA50CM,SOILVR5CM,SOILVR10CM,SOILVR20CM,SOILVR50CM,VWC5CM,VWC10CM,VWC20CM,VWC50CM
737151,2018-04-01 00:00:00,Garden City,91.74,92.21,91.03,102.03,7.03,-1.1,14.05,7.31,-1.1,14.05,50.78,86.53,30.62,51.96,86.53,30.62,0.54,0,239.33,20.68,5.16,11.76,7.86,17.54,46,50.89,40.3,52.9,11.76,17.89,7.85,11.65,15.12,9.17,11.65,11.72,11.34,10.59,0.03342,0.09172,0.32403,0.3085,3.83,7.97,15.18,12.72,1.261,1.4047,1.6316,1.5829,1.042,1.114,1.4006,1.3821,0.0509,0.1469,0.2786,0.2382
737152,2018-04-02 00:00:00,Garden City,91.94,92.29,91.4,102.67,-1.97,-4.99,1.54,-1.7,-4.99,1.54,49.69,68.21,35.52,51.17,68.21,35.52,0.27,0,106.15,9.17,3.34,10.04,5.11,14.95,86.84,38.08,84.31,36.74,8.29,11.94,5.76,9.18,10.84,7.82,6.39,8.21,9.94,10.59,0.02659,0.0829,0.30773,0.30817,3.63,7.76,14.92,12.7,1.25,1.3963,1.6234,1.5825,1.0334,1.103,1.3803,1.3817,0.0459,0.1426,0.2745,0.238
737153,2018-04-03 00:00:00,Garden City,90.2,91.49,89.32,100.54,9.25,-5.67,28.54,9.55,-5.67,28.54,45.12,74.32,8.29,46.18,74.32,8.29,1.04,0,241.39,20.86,5.21,13.39,7.76,17.82,167.82,18.39,164.97,17.22,10.19,18.72,3.65,9.67,14.88,5.56,11.56,9.92,9.16,10.06,0.02735,0.0864,0.29874,0.30259,3.66,7.88,14.77,12.63,1.2514,1.4007,1.6187,1.5798,1.0344,1.1074,1.3692,1.3747,0.0466,0.145,0.2721,0.2367
737154,2018-04-04 00:00:00,Garden City,91.35,92.3,89.32,101.67,3.88,-5.53,14.7,4.51,-5.53,14.7,40.34,86.8,11.31,40.3,86.8,11.31,0.53,0,229.75,19.85,7.34,18.66,11.56,28.32,12.55,59.52,6.65,59.82,10.36,14.17,6.26,10.74,12.59,8.77,9.46,10.46,10.76,10.11,0.02284,0.08959,0.31033,0.30275,3.42,7.97,14.99,12.64,1.2394,1.4044,1.6254,1.5801,1.0287,1.1113,1.3836,1.3749,0.0406,0.147,0.2756,0.2368
737155,2018-04-05 00:00:00,Garden City,91.78,92.35,91.21,102.32,6.71,-6.76,20.31,7.32,-6.76,20.31,25.07,54.06,7.54,24.39,54.06,7.54,0.95,0,239.17,20.66,5.3,14.05,8.27,19.68,172.87,26.56,172.1,23.06,9.05,15.77,3.77,9.12,13.03,5.84,9.78,9.18,9.33,10.09,0.0197,0.08546,0.29433,0.30187,3.33,7.88,14.73,12.59,1.2343,1.4006,1.6172,1.5789,1.0248,1.1062,1.3637,1.3738,0.0384,0.145,0.2715,0.2361
737156,2018-04-06 00:00:00,Garden City,91.29,91.54,91.04,101.47,12.12,1.29,22.67,12.61,1.29,22.67,28.67,50.16,11.77,29.02,50.16,11.77,1.17,0,230.16,19.89,2.83,11.05,4.43,17.13,106.03,58.22,105.82,55.34,12.86,20.63,6.55,11.94,16.67,8.07,15.14,12.77,10.92,9.98,0.01718,0.09471,0.30561,0.30053,3.19,8.14,14.94,12.54,1.2268,1.4109,1.6236,1.5773,1.0216,1.1177,1.3777,1.3721,0.0347,0.1506,0.2747,0.2351
737157,2018-04-07 00:00:00,Garden City,91.75,92.38,91.1,102.25,-0.68,-9.09,9.16,-0.31,-9.09,9.16,65.09,89.72,40.01,66.87,89.72,40.01,0.24,0,55.22,4.77,6.86,13.78,10.57,20.38,45.54,17.31,43.04,16.57,8.71,12.32,5.35,9.96,13.07,7.2,6.45,9.15,10.96,10.47,0.01121,0.08682,0.3023,0.30529,2.81,7.94,14.9,12.6,1.2062,1.4029,1.6224,1.5796,1.0141,1.1079,1.3736,1.3781,0.0247,0.1463,0.2742,0.2363
737158,2018-04-08 00:00:00,Garden City,91.89,92.36,91.03,102.82,-2.97,-9.7,5.47,-2.84,-9.7,5.47,56.38,87.74,34.4,57.46,87.74,34.4,0.26,1.02,231.29,19.98,2.84,8.98,4.09,13.54,103.43,73.14,101.07,71.71,8.52,15.63,4.47,8.53,12.55,6.06,7.33,7.8,8.57,10.11,0.01049,0.08078,0.27901,0.30098,2.82,7.81,14.49,12.53,1.2065,1.3973,1.6096,1.5771,1.0132,1.1004,1.3447,1.3727,0.025,0.1435,0.2677,0.235
737159,2018-04-09 00:00:00,Garden City,90.76,91.22,90.28,101.14,6.8,-0.64,18.1,7.69,-0.64,18.1,60.56,85.25,35.72,57.79,85.25,35.72,0.45,1.52,156.1,13.49,3.16,11.6,4.7,17.46,185.9,65.69,193.99,61.16,9.71,17.26,5.48,9.49,13.48,6.93,9.01,9.03,9.05,9.71,0.0103,0.08373,0.28248,0.29667,2.82,7.89,14.53,12.47,1.2067,1.4007,1.611,1.575,1.0129,1.104,1.349,1.3673,0.0252,0.1453,0.2683,0.2339
737160,2018-04-10 00:00:00,Garden City,92.01,92.54,91.16,102.37,7.61,1.4,15.48,8.13,1.4,15.48,62.5,89.14,29.87,62.24,89.14,29.87,0.45,0,144.81,12.51,2.88,10.58,4.45,15.29,36.56,81.5,31.01,81.45,10.5,14.91,7.65,10.37,12.8,8.63,10.12,10.12,9.86,9.73,0.01052,0.08647,0.28822,0.29658,2.86,7.97,14.62,12.45,1.2086,1.404,1.6139,1.5745,1.0132,1.1074,1.3561,1.3672,0.0262,0.1471,0.2698,0.2335
737161,2018-04-11 00:00:00,Garden City,92.02,92.56,91.4,102.34,12.19,0.18,23.43,13.19,0.18,23.43,48.01,95.57,10.88,47.18,95.57,10.88,1.06,0,248.89,21.5,3.08,11.9,4.69,17.58,205.04,52.64,210.29,46.58,12.01,20.34,6.08,11.25,16.18,7.62,13.6,11.9,10.42,9.87,0.01187,0.09033,0.29077,0.29748,2.96,8.09,14.67,12.44,1.2139,1.4083,1.6154,1.5745,1.0149,1.1123,1.3593,1.3684,0.0288,0.1494,0.2706,0.2334
737162,2018-04-12 00:00:00,Garden City,90.86,91.47,90.37,100.8,17.38,8.96,28.81,18.78,8.96,28.81,28.99,53.54,5.29,27.61,53.54,5.29,1.68,0,178.61,15.43,3.06,7.45,4.71,9.7,192.56,65.69,193.24,62.76,13.92,19.5,9.62,13.13,16.29,10.42,16.78,14.32,12.28,10.31,0.01086,0.09628,0.30314,0.30145,2.9,8.24,14.92,12.48,1.2105,1.4144,1.6228,1.5759,1.0137,1.1197,1.3746,1.3733,0.0271,0.1526,0.2744,0.2341
737163,2018-04-13 00:00:00,Garden City,89.83,90.47,89.21,99.65,18.61,0.79,34.29,19.48,0.79,34.29,29.26,78.75,3.92,28.98,78.75,3.92,2.18,0,217.63,18.8,3.13,13.7,4.85,20.05,229.06,67.36,231.82,61.96,15.11,22.05,8.44,14.06,18.15,10.17,18.29,15.36,13.18,10.94,0.00825,0.09762,0.30496,0.307,2.71,8.28,14.98,12.48,1.2001,1.4159,1.6246,1.5767,1.0104,1.1213,1.3769,1.3802,0.0221,0.1534,0.2755,0.2341
