MATLAB_DATE,TIMESTAMP,STATION,PRESSUREAVG,PRESSUREMAX,PRESSUREMIN,SLPAVG,TEMP2MAVG,TEMP2MMIN,TEMP2MMAX,TEMP10MAVG,TEMP10MMIN,TEMP10MMAX,RELHUM2MAVG,RELHUM2MMAX,RELHUM2MMIN,RELHUM10MAVG,RELHUM10MMAX,RELHUM10MMIN,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,WSPD2MMAX,WSPD10MAVG,WSPD10MMAX,WDIR2M,WDIR2MSTD,WDIR10M,WDIR10MSTD,SOILTMP5AVG,SOILTMP5MAX,SOILTMP5MIN,SOILTMP10AVG,SOILTMP10MAX,SOILTMP10MIN,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,SOILEC5CM,SOILEC10CM,SOILEC20CM,SOILEC50CM,SOILKA5CM,SOILKA10CM,SOILKA20CM,SOILKA50CM,SOILPA5CM,SOILPA10CM,SOILPA20CM,SOILPA50CM,SOILVR5CM,SOILVR10CM,SOILVR20CM,SOILVR50CM,VWC5CM,VWC10CM,VWC20CM,VWC50CM
737151,2018-04-01 00:00:00,Gypsum,97.48,98.18,96.76,101.93,8.7,0.45,14.76,8.4,0.45,14.76,49.94,69.24,35.59,50.47,69.24,35.59,0.58,0,240.92,20.82,6.58,13.7,7.99,15.25,2.64,81.1,4.59,81.26,10.45,13.53,7.99,10.45,12.36,9.14,10.6,10.36,9.98,9.26,0.13409,0.13975,0.18534,0.13207,9.23,9.06,13.84,11.39,1.4614,1.4622,1.6041,1.5191,1.1711,1.1782,1.2311,1.1627,0.1731,0.1696,0.2572,0.2146
737152,2018-04-02 00:00:00,Gypsum,97.94,98.23,97.46,102.62,-2.3,-4.05,1,-2.48,-4.05,1,65.59,87.76,36.21,66.29,87.76,36.21,0.18,0,48.38,4.18,4.55,10.23,5.49,11.66,41.21,36.57,42.14,36.58,5.74,7.99,4.58,6.82,9.14,5.58,6.83,7.17,8.68,9.41,0.11863,0.12444,0.17689,0.13257,9.03,8.85,13.68,11.4,1.4527,1.4532,1.5991,1.5194,1.1513,1.1586,1.2205,1.1634,0.169,0.1653,0.2545,0.2148
737153,2018-04-03 00:00:00,Gypsum,96.42,97.55,95.47,101.01,1.34,-3.65,10.27,1.2,-3.65,10.27,79.74,95.44,54.93,80.91,95.44,54.93,0.16,0,132.72,11.47,3.39,8.98,4.14,9.68,135.68,31.22,136.18,30.38,5.68,8.35,3.82,6.03,7.77,4.77,6,6.15,7.03,8.58,0.11464,0.11966,0.16716,0.12864,9.01,8.72,13.51,11.33,1.4515,1.4485,1.5936,1.517,1.1462,1.1525,1.2083,1.1585,0.1687,0.1626,0.2517,0.2136
737154,2018-04-04 00:00:00,Gypsum,96.86,98.15,95.32,101.4,2.9,-5.39,8.99,2.87,-5.39,8.99,68.16,98.89,26.57,67.78,98.89,26.57,0.26,0,191.99,16.59,6.72,16.03,8.36,19.01,348.25,32.08,349.4,32.23,6.27,8.34,4.12,6.67,7.81,5.51,6.68,6.7,7.25,8.12,0.11761,0.12174,0.16859,0.12648,9.04,8.76,13.51,11.3,1.4527,1.4502,1.5937,1.5157,1.15,1.1552,1.2101,1.1558,0.1691,0.1635,0.2516,0.2129
737155,2018-04-05 00:00:00,Gypsum,97.89,98.49,97.21,102.55,1.96,-10.24,11.92,2.27,-10.24,11.92,48.48,86.36,21.7,46.53,86.36,21.7,0.49,0,269.97,23.33,3.57,12.07,4.49,13.11,163.1,67.53,161.78,73.46,6.1,10.82,1.77,6.2,9.15,3.22,6.07,6.11,6.66,7.83,0.11469,0.11957,0.16518,0.12509,9,8.95,13.42,11.27,1.4511,1.4557,1.5911,1.5147,1.1463,1.1524,1.2058,1.1541,0.1684,0.1674,0.2502,0.2123
737156,2018-04-06 00:00:00,Gypsum,97.01,97.3,96.71,101.42,13.35,4.82,22.9,13.46,4.82,22.9,33.85,53.46,19.1,32.68,53.46,19.1,1.11,0,284.01,24.54,3.65,11.72,4.53,14.01,235.65,90.92,230.94,92.17,10.79,16.76,6.32,9.94,13.89,6.78,10.08,9.53,8.3,7.83,0.12985,0.13266,0.17529,0.125,9.17,9.02,13.55,11.26,1.4588,1.4598,1.5955,1.5145,1.1657,1.1692,1.2185,1.154,0.1719,0.1688,0.2523,0.2122
737157,2018-04-07 00:00:00,Gypsum,97.65,98.28,97.07,102.21,0.48,-7.62,8.19,0.36,-7.62,8.19,58.29,88.73,39.41,58.51,88.73,39.41,0.3,0,142.43,12.31,7.13,15.78,8.63,17.72,11.7,18.9,12.68,18.19,8.06,10.77,5.07,8.76,11.17,6.32,8.79,8.89,9.32,8.66,0.12404,0.12778,0.18064,0.1285,9.04,8.9,13.61,11.32,1.4539,1.4553,1.5976,1.5165,1.1582,1.1629,1.2252,1.1583,0.1693,0.1663,0.2533,0.2133
737158,2018-04-08 00:00:00,Gypsum,97.88,98.31,97.23,102.61,-2.38,-10.65,6.15,-2.17,-10.65,6.15,54.32,81.18,25.01,51.95,81.18,25.01,0.29,0,299.57,25.88,1.86,6.9,2.38,7.35,354.15,86.48,10.09,83.23,7.05,12.32,3.31,7.22,10.44,4.63,6.8,6.92,7.58,8.5,0.11599,0.11969,0.1699,0.12757,8.97,8.79,13.42,11.29,1.4502,1.4508,1.5917,1.5157,1.148,1.1526,1.2118,1.1572,0.1677,0.1642,0.2502,0.2128
737159,2018-04-09 00:00:00,Gypsum,96.67,97.34,96.22,101.22,3.67,-0.48,10.25,3.85,-0.48,10.25,70.5,94.02,43.36,69.13,94.02,43.36,0.24,0.76,91.93,7.94,3.61,10.29,4.58,11.6,165.29,27.56,165.91,21.71,6.1,7.71,5.12,6.59,7.49,5.92,6.54,6.7,7.49,8.24,0.11502,0.11735,0.16942,0.12627,8.95,8.71,13.4,11.26,1.4496,1.4478,1.591,1.5146,1.1467,1.1496,1.2111,1.1556,0.1674,0.1624,0.2499,0.2122
737160,2018-04-10 00:00:00,Gypsum,97.75,98.39,96.78,102.31,4.36,-4.72,12.33,4.52,-4.72,12.33,63.76,87.53,37.82,62.74,87.53,37.82,0.35,0,219.16,18.94,3.5,9.68,4.28,10.45,337.94,37.14,342.9,30.56,7.27,10.89,4.76,7.27,9.71,5.46,7.21,7.12,7.26,7.93,0.11723,0.11852,0.16809,0.12467,8.99,8.68,13.37,11.23,1.4511,1.447,1.5901,1.5136,1.1495,1.1511,1.2095,1.1536,0.1681,0.1617,0.2493,0.2117
737161,2018-04-11 00:00:00,Gypsum,97.72,98.38,96.88,102.27,8.83,-6.67,23.8,9.59,-6.67,23.8,56.07,91.27,22.34,54.48,91.27,22.34,0.81,0,272.29,23.53,3.72,13.66,4.69,15.86,185.91,44.67,181.71,47.45,8.49,13.55,3.63,8.13,11.59,4.8,7.97,7.87,7.61,7.91,0.11947,0.12018,0.1702,0.12445,9,8.64,13.38,11.23,1.4518,1.4461,1.5905,1.5134,1.1524,1.1532,1.2121,1.1533,0.1684,0.161,0.2495,0.2116
737162,2018-04-12 00:00:00,Gypsum,96.43,97.09,95.9,100.74,18.63,8.78,28.3,18.72,8.78,28.3,41.83,59.05,23.15,40.87,59.05,23.15,1.41,0,201.54,17.41,5.12,13.96,6.48,15.54,181.6,16.99,182.58,14.28,11.94,15.74,8.48,11.13,13.85,8.74,11.19,10.78,9.43,8.34,0.13058,0.12837,0.18112,0.12616,9.1,8.66,13.52,11.23,1.4568,1.4481,1.5955,1.5137,1.1666,1.1637,1.2258,1.1554,0.1705,0.1614,0.2519,0.2116
737163,2018-04-13 00:00:00,Gypsum,95.44,96.09,94.74,99.63,22,8.04,30.96,22.05,8.04,30.96,50.78,89.16,28.93,50.14,89.16,28.93,1.51,0,265.57,22.95,5.19,15.07,6.49,17.89,160.72,36.96,159.46,37.95,15.39,19.23,11.17,14.21,16.97,11.38,14.26,13.69,11.59,9.33,0.14116,0.13445,0.19404,0.13031,9.19,8.68,13.7,11.29,1.4612,1.4497,1.6012,1.5159,1.1801,1.1715,1.242,1.1606,0.1723,0.1618,0.2548,0.2127
737164,2018-04-14 00:00:00,Gypsum,95.18,96.07,94.6,99.37,16.31,2.06,23.92,16.08,2.06,23.92,63.17,80.1,34.61,63.47,80.1,34.61,0.76,0,254.88,22.02,6.81,15.41,8.29,17.89,246.52,50.11,244.84,48.78,17.2,20.96,13.41,16.42,18.6,14.49,16.27,15.78,13.85,10.71,0.14741,0.13526,0.20794,0.13619,9.21,8.63,13.87,11.37,1.463,1.4484,1.6072,1.5191,1.1881,1.1725,1.2594,1.1678,0.1727,0.1608,0.2577,0.2143
737165,2018-04-15 00:00:00,Gypsum,96.54,97.37,95.81,101.09,-0.41,-2.5,2.67,-0.53,-2.5,2.67,82.86,97.67,65.82,81.09,97.67,65.82,0.1,0,101.98,8.81,9.33,16.76,11.2,20.38,308.95,20.76,308.4,21.27,9.02,13.42,5.59,10.46,14.49,7.38,10.59,10.76,12.29,11.59,0.12297,0.11324,0.19703,0.14002,8.86,8.24,13.67,11.42,1.4482,1.4323,1.601,1.521,1.1569,1.1443,1.2457,1.1726,0.1655,0.1526,0.2544,0.2152
737166,2018-04-16 00:00:00,Gypsum,97.62,97.9,97.23,102.28,-1.7,-6.94,4.76,-1.56,-6.94,4.76,68.49,91.07,48.75,68.54,91.07,48.75,0.18,0,155.14,13.4,5.85,12.62,7.14,15.25,320.24,23.39,323.32,17.4,5.45,7.45,4.12,6.58,7.6,5.72,6.83,7.02,8.96,10.59,0.10842,0.10147,0.17642,0.1351,8.68,8.01,13.34,11.32,1.44,1.423,1.5902,1.5175,1.1383,1.1293,1.2199,1.1665,0.1618,0.1478,0.2489,0.2133
737167,2018-04-17 00:00:00,Gypsum,97.53,98.03,96.93,102.14,4.45,-6.87,16.34,4.73,-6.87,16.34,56.2,91.68,19.99,54.93,91.68,19.99,0.53,0,314.89,27.21,1.94,7.86,2.53,7.57,76.18,83.55,62.78,84.04,8.43,14.51,3.09,8.15,12.37,4.48,7.91,7.82,8.09,9.36,0.11172,0.10381,0.17153,0.12903,8.75,8.01,13.25,11.23,1.4428,1.4235,1.5874,1.5142,1.1425,1.1323,1.2138,1.159,0.1633,0.1479,0.2474,0.2117
