MATLAB_DATE,TIMESTAMP,STATION,PRESSUREAVG,PRESSUREMAX,PRESSUREMIN,SLPAVG,TEMP2MAVG,TEMP2MMIN,TEMP2MMAX,TEMP10MAVG,TEMP10MMIN,TEMP10MMAX,RELHUM2MAVG,RELHUM2MMAX,RELHUM2MMIN,RELHUM10MAVG,RELHUM10MMAX,RELHUM10MMIN,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,WSPD2MMAX,WSPD10MAVG,WSPD10MMAX,WDIR2M,WDIR2MSTD,WDIR10M,WDIR10MSTD,SOILTMP5AVG,SOILTMP5MAX,SOILTMP5MIN,SOILTMP10AVG,SOILTMP10MAX,SOILTMP10MIN,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,SOILEC5CM,SOILEC10CM,SOILEC20CM,SOILEC50CM,SOILKA5CM,SOILKA10CM,SOILKA20CM,SOILKA50CM,SOILPA5CM,SOILPA10CM,SOILPA20CM,SOILPA50CM,SOILVR5CM,SOILVR10CM,SOILVR20CM,SOILVR50CM,VWC5CM,VWC10CM,VWC20CM,VWC50CM
737151,2018-04-01 00:00:00,Hays,94.71,95.34,93.96,102.06,6.11,-0.79,11.27,6.08,-0.79,11.27,52.82,82.07,38.43,53.69,82.07,38.43,0.44,0,257.71,22.27,5.95,14.45,7.21,15.07,10.71,61.01,5.48,61.78,8.24,8.47,7.89,8.24,8.38,8.04,9.17,9.13,8.98,8.49,0.11148,0.13432,0.32576,0.49077,8.44,10.99,17.46,20.21,1.4266,1.5086,1.6924,1.7734,1.1372,1.1708,1.415,1.6321,0.1568,0.2072,0.3121,0.348
737152,2018-04-02 00:00:00,Hays,94.97,95.33,94.43,102.63,-2.44,-6.89,1.78,-2.41,-6.89,1.78,61.09,89.7,39.63,62.73,89.7,39.63,0.21,0,137.1,11.85,3.86,9.86,4.95,11.64,65.87,43.06,61.47,41.26,7.26,7.9,6.89,7.46,8.04,7.16,5.69,6.55,7.69,8.54,0.09087,0.12393,0.31,0.49143,7.8,10.76,17.22,20.23,1.4026,1.5006,1.6854,1.7738,1.1118,1.1575,1.3948,1.6329,0.1434,0.2029,0.3086,0.3482
737153,2018-04-03 00:00:00,Hays,93.25,94.48,92.35,100.73,3.41,-7.71,17.43,3.36,-7.71,17.43,65.13,92.57,24.99,66.97,92.57,24.99,0.44,0,252.78,21.84,5.16,12.66,6.22,13.54,141.48,25.35,137.56,26.04,6.76,7.48,6.11,6.92,7.41,6.45,6.59,6.48,6.91,8.18,0.08894,0.12532,0.30107,0.4852,7.67,10.82,17.04,20.1,1.3977,1.5025,1.6807,1.7706,1.1094,1.1593,1.3834,1.6248,0.1405,0.204,0.3062,0.3466
737154,2018-04-04 00:00:00,Hays,94.16,95.27,92.38,101.59,3.01,-4.45,8.37,3.01,-4.45,8.37,54.65,96.47,17.6,55.48,96.47,17.6,0.37,0,245.89,21.25,8.15,18.99,10.01,21.74,354.78,29.4,350.86,29.27,6.95,7.38,6.58,7.08,7.39,6.82,6.9,7.16,7.48,8,0.08269,0.12943,0.3069,0.48219,7.32,10.93,17.12,20.03,1.3848,1.5061,1.6829,1.7689,1.1017,1.1646,1.3909,1.6209,0.1328,0.206,0.3072,0.3458
737155,2018-04-05 00:00:00,Hays,94.75,95.33,94.11,102.32,4.77,-9.47,18.37,5.18,-9.47,18.37,37.7,79.64,8.94,36.64,79.64,8.94,0.78,0,245.22,21.19,5.45,15.9,6.63,17.74,176.07,39.31,163.15,37.46,6.22,6.85,5.54,6.41,6.84,5.93,5.92,6.05,6.63,7.88,0.07568,0.12571,0.29688,0.47982,6.95,10.86,16.93,20,1.3709,1.5037,1.6778,1.7681,1.093,1.1598,1.378,1.6178,0.1248,0.2048,0.3046,0.3454
737156,2018-04-06 00:00:00,Hays,94.18,94.37,93.95,101.44,12.01,0.7,22.9,12.11,0.7,22.9,31.2,56.51,13.83,31.11,56.51,13.83,1.11,0,267.91,23.15,3.39,8.39,4.45,10.11,343.89,85.7,331.77,85.76,7.3,8.45,6.39,7.19,8.14,6.56,10.1,8.9,7.84,7.73,0.07721,0.13971,0.30936,0.47697,6.81,11.22,17.13,19.95,1.3663,1.5158,1.6835,1.7667,1.0949,1.1776,1.394,1.6141,0.1216,0.2114,0.3075,0.3448
737157,2018-04-07 00:00:00,Hays,94.83,95.38,94.21,102.34,-1.23,-8.74,8.3,-1.21,-8.74,8.3,62.82,87.18,37.68,64.29,87.18,37.68,0.25,0,76.55,6.61,6.93,15.11,8.41,16.62,20.84,20.89,17.19,20.82,7.29,8.25,6.22,7.44,8.1,6.58,6.44,7.46,8.27,8.08,0.06129,0.13311,0.31229,0.48346,6.12,11.07,17.2,20.09,1.3382,1.5107,1.6853,1.7702,1.0753,1.1692,1.3978,1.6226,0.106,0.2087,0.3085,0.3465
737158,2018-04-08 00:00:00,Hays,94.91,95.35,94.11,102.71,-3.64,-11.66,4.28,-3.56,-11.66,4.28,54.89,83.19,25.77,54.94,83.19,25.77,0.26,0,293.74,25.38,2.33,7.43,2.88,8.27,66.87,94.84,63.44,95.28,6.38,7.29,5.67,6.52,7.16,6.02,6.36,6.37,6.77,7.98,0.05907,0.13014,0.29685,0.48171,6.19,11.03,16.94,20.05,1.3404,1.5091,1.6779,1.7692,1.0726,1.1654,1.378,1.6203,0.1077,0.2079,0.3047,0.346
737159,2018-04-09 00:00:00,Hays,93.6,94.17,93.13,101.02,5.68,0.16,15.79,5.89,0.16,15.79,63.05,92.03,44.52,62.95,92.03,44.52,0.36,0.51,137.97,11.92,5.45,16.37,6.75,18.27,167,46.45,163.28,48.09,6.62,7.18,6.22,6.72,7.09,6.42,6.52,6.66,7.02,7.81,0.05515,0.13239,0.29897,0.47882,6.19,11.09,16.95,19.99,1.3396,1.5111,1.6784,1.7678,1.0677,1.1683,1.3807,1.6165,0.1078,0.209,0.3049,0.3453
737160,2018-04-10 00:00:00,Hays,94.9,95.44,94.05,102.33,5.52,-2,11.74,5.62,-2,11.74,59.68,84.38,35.88,59.76,84.38,35.88,0.4,0.25,209.93,18.14,2.86,10.05,3.56,10.78,18.69,54.04,16.72,48.29,7.16,7.75,6.73,7.13,7.58,6.84,8,7.77,7.54,7.76,0.0555,0.13823,0.30395,0.47805,6.21,11.24,17.03,19.99,1.3402,1.5163,1.6807,1.7678,1.0682,1.1757,1.3871,1.6155,0.1081,0.2119,0.306,0.3453
737161,2018-04-11 00:00:00,Hays,94.77,95.43,94.16,102.17,11.26,-4.71,25.32,11.9,-4.71,25.32,46.61,91.72,10.36,45.9,91.72,10.36,1.16,0,279.01,24.11,3.74,13.33,4.84,15.62,210.92,56.57,201.92,58.02,7.27,8.34,6.35,7.25,8.07,6.6,9.02,8.29,7.82,7.85,0.05558,0.14159,0.3062,0.47948,6.11,11.34,17.07,20.02,1.3366,1.5193,1.6818,1.7684,1.0683,1.18,1.39,1.6174,0.1059,0.2136,0.3066,0.3456
737162,2018-04-12 00:00:00,Hays,93.58,94.22,93.15,100.64,17.3,6.06,28.92,17.92,6.06,28.92,35.4,59.67,14.78,34.48,59.67,14.78,1.51,0,174.81,15.1,2.44,8.58,3.22,10,203.51,37.4,192.78,45.9,8.39,9.48,7.63,8.2,9.07,7.67,11.49,10.38,9.25,8.1,0.05666,0.15241,0.32066,0.48352,6.04,11.59,17.33,20.11,1.3343,1.5277,1.6889,1.7706,1.0696,1.1938,1.4085,1.6226,0.1043,0.2182,0.3102,0.3467
737163,2018-04-13 00:00:00,Hays,92.57,93.25,91.8,99.54,18.02,5.32,31.61,18.83,5.32,31.61,49.09,91.62,12.32,48,91.62,12.32,1.42,0,251.13,21.7,2.04,7.96,2.78,8.41,99.22,78.12,84.45,67.42,9.44,10.78,8.36,9.16,10.27,8.41,13.58,12.01,10.41,8.57,0.05765,0.1616,0.33298,0.49191,5.96,11.8,17.55,20.26,1.3315,1.5348,1.6951,1.7745,1.0708,1.2055,1.4243,1.6335,0.1023,0.2221,0.3133,0.3486
737164,2018-04-14 00:00:00,Hays,92.66,93.57,91.8,99.77,6.75,-2.01,17.72,6.9,-2.01,17.72,74.14,92,26.9,75.14,92,26.9,0.29,0,62.99,5.44,7.15,18.62,8.86,22.66,315.2,26.71,307.34,26.33,9.8,10.55,8.78,9.74,10.24,9.05,10.68,11.09,10.96,9.19,0.04978,0.15738,0.33829,0.50288,5.51,11.69,17.65,20.47,1.3127,1.5313,1.6978,1.7798,1.0611,1.2001,1.4311,1.6478,0.0919,0.2201,0.3147,0.3511
737165,2018-04-15 00:00:00,Hays,94.16,94.81,93.47,101.77,-2.39,-3.84,-0.18,-2.27,-3.84,-0.18,72.76,87.32,51.81,73.12,87.32,51.81,0.14,0,118.17,10.21,11.37,20.23,13.73,23.17,335.23,12.41,329.28,11.59,7.3,8.78,6.43,7.72,9.05,6.86,4.44,6.24,8.11,9.27,0.03959,0.1336,0.30745,0.50412,5.09,11.17,17.13,20.48,1.2936,1.5135,1.6832,1.7801,1.0486,1.1699,1.3916,1.6494,0.0819,0.2104,0.3074,0.3512
737166,2018-04-16 00:00:00,Hays,94.85,95.07,94.67,102.5,0.53,-7.58,9.57,0.61,-7.58,9.57,48.58,80.98,15.62,48.96,80.98,15.62,0.41,0,313.79,27.11,5.71,12.62,6.95,14.29,334.54,21.45,332.06,22.21,6.3,6.88,5.74,6.58,6.94,6.19,5.42,5.8,6.65,8.63,0.03926,0.13173,0.29132,0.49305,5.07,11.15,16.81,20.26,1.2929,1.5128,1.6744,1.7746,1.0482,1.1675,1.3709,1.635,0.0815,0.2102,0.3028,0.3486
737167,2018-04-17 00:00:00,Hays,94.56,95.07,93.84,102.1,3.75,-9.54,16.26,4.23,-9.54,16.26,52,90,20.3,52.42,90,20.3,0.56,0,304.46,26.31,3.11,9.55,3.85,10.29,107.14,71.95,91.05,64.28,6.68,7.81,5.69,6.78,7.64,6.09,7.88,7.29,7.19,8.18,0.04013,0.13932,0.29603,0.4856,5.04,11.33,16.86,20.12,1.2919,1.5189,1.6761,1.7711,1.0492,1.1771,1.377,1.6253,0.0807,0.2135,0.3036,0.3469
737168,2018-04-18 00:00:00,Hays,93.18,93.88,92.12,100.38,12.79,-0.38,25.12,12.77,-0.38,25.12,42.57,74.57,13.29,43.21,74.57,13.29,1.11,0,299.63,25.89,5.77,22.85,7.17,27.09,90.12,51.41,83.5,50.91,7.95,9.2,6.96,7.82,8.88,7.13,11.37,9.93,8.74,8.2,0.04128,0.1521,0.31152,0.4862,4.97,11.63,17.13,20.13,1.2894,1.529,1.6837,1.7713,1.0506,1.1934,1.3968,1.6261,0.079,0.219,0.3074,0.347
737169,2018-04-19 00:00:00,Hays,94.61,95.34,93.5,101.87,9.83,0.57,16.55,9.93,0.57,16.55,46.24,72.24,21.73,46.68,72.24,21.73,0.72,0,296.69,25.63,8.61,18.62,10.52,21.93,334.03,28.22,330.97,30.2,8.75,9.14,8.28,8.66,8.93,8.34,11.23,10.73,9.94,8.64,0.03586,0.15511,0.32332,0.4935,4.53,11.69,17.35,20.28,1.2699,1.5308,1.6897,1.7751,1.044,1.1973,1.4119,1.6356,0.0683,0.22,0.3105,0.3489
737170,2018-04-20 00:00:00,Hays,95.5,95.88,95.19,103,5.77,-5.39,15.99,6.42,-5.39,15.99,53.75,88.88,21.18,53.43,88.88,21.18,0.57,0,309.11,26.71,2.63,8.35,3.41,9.35,59.32,75.44,49.92,68.79,8.64,9.68,7.62,8.59,9.36,7.88,11.02,10.28,9.69,8.97,0.03223,0.15252,0.31992,0.49944,4.24,11.62,17.29,20.39,1.257,1.5287,1.688,1.7778,1.0395,1.1939,1.4076,1.6433,0.0613,0.2188,0.3097,0.3502
737171,2018-04-21 00:00:00,Hays,95.04,95.36,94.57,102.45,8.39,-0.11,14.39,8.6,-0.11,14.39,55.65,93.77,34.12,55.56,93.77,34.12,0.54,9.14,90.94,7.86,4.45,11.62,5.46,12.7,123.22,28.5,115.69,26.55,8.71,9.23,8.41,8.75,9.22,8.52,9.65,9.68,9.77,9.19,0.0342,0.14903,0.31966,0.50321,4.47,11.52,17.27,20.47,1.2647,1.5253,1.6875,1.7798,1.0419,1.1895,1.4072,1.6482,0.0663,0.2169,0.3094,0.3511
737172,2018-04-22 00:00:00,Hays,94.91,95.14,94.66,102.33,6,5.31,7.48,6.1,5.31,7.48,94.19,97.24,86.56,95.39,97.24,86.56,0.05,4.57,36.31,3.14,3.17,8.17,4.64,9.09,47.91,23.61,43.71,22.6,8.59,8.83,8.47,8.63,8.82,8.54,8.36,8.71,9.14,9.23,0.19666,0.14782,0.31324,0.50341,11.68,11.61,17.17,20.49,1.5321,1.5279,1.6847,1.7802,1.2426,1.188,1.399,1.6485,0.2192,0.2187,0.308,0.3514
737173,2018-04-23 00:00:00,Hays,94.91,95.1,94.7,102.28,10.23,4.36,17.89,10.17,4.36,17.89,67.67,96.32,30.49,67.89,96.32,30.49,0.51,0,288.46,24.92,3.48,8.62,4.35,9.27,6.93,42.62,4.33,40.69,8.95,9.97,8.26,8.85,9.67,8.36,10.83,10.03,9.31,9.12,0.25179,0.1645,0.3161,0.50152,12.94,12.43,17.2,20.46,1.5731,1.5521,1.6857,1.7795,1.3108,1.2092,1.4027,1.646,0.242,0.2331,0.3084,0.351
737174,2018-04-24 00:00:00,Hays,94.73,94.98,94.44,101.97,13.67,4.83,22.03,13.95,4.83,22.03,55.64,87.8,28.52,54.5,87.8,28.52,0.84,0,304.76,26.33,1.95,6.25,2.6,6.76,42.19,85.7,44.02,84.29,10.29,11.75,9.22,10,11.2,9.24,13.91,12.56,11.01,9.35,0.2619,0.18704,0.33474,0.50616,12.39,13.16,17.53,20.55,1.5606,1.5741,1.6947,1.7817,1.3234,1.238,1.4265,1.6521,0.2325,0.2457,0.313,0.3521
737175,2018-04-25 00:00:00,Hays,95.05,95.4,94.6,102.4,7.41,4.3,12.21,8.1,4.3,12.21,84.36,94.72,61.1,82.62,94.72,61.1,0.17,2.79,44.81,3.87,5.5,12.78,6.75,13.99,325.47,24.51,320.31,22.99,10.22,11.28,9.62,10.24,11.06,9.74,10.05,10.74,11.13,9.93,0.22002,0.18216,0.33551,0.51666,11.44,13.16,17.56,20.74,1.5302,1.5737,1.6954,1.7866,1.2714,1.2317,1.4275,1.6657,0.2155,0.2459,0.3134,0.3544
737176,2018-04-26 00:00:00,Hays,94.98,95.37,94.4,102.41,7.47,1.38,14.59,7.62,1.38,14.59,69.37,95.17,35.14,69.36,95.17,35.14,0.39,0,206.86,17.87,4.94,10.41,6.11,12.74,341.63,55.79,338.41,54.87,10.02,14.7,8.48,10.03,11.82,9.17,9.4,9.49,9.76,9.96,0.23655,0.17983,0.31877,0.51679,12.43,13.29,17.3,20.74,1.5581,1.5768,1.6882,1.7866,1.2919,1.2288,1.4061,1.6659,0.2331,0.248,0.3099,0.3544
737177,2018-04-27 00:00:00,Hays,94.48,94.86,94.18,101.81,9.84,-1.34,21.08,10.67,-1.34,21.08,59.22,97.41,22.67,57.54,97.41,22.67,0.7,0,254.4,21.98,3.54,13.31,4.56,14.6,307.86,82.01,301.95,81.82,10.81,16.47,5.65,10.59,13.59,7.51,10.21,10.03,9.86,9.8,0.24134,0.19136,0.31605,0.51443,12.53,13.73,17.34,20.68,1.5614,1.5895,1.6888,1.7851,1.2979,1.2435,1.4026,1.6628,0.2349,0.2554,0.3104,0.3537
