MATLAB_DATE,TIMESTAMP,STATION,PRESSUREAVG,PRESSUREMAX,PRESSUREMIN,SLPAVG,TEMP2MAVG,TEMP2MMIN,TEMP2MMAX,TEMP10MAVG,TEMP10MMIN,TEMP10MMAX,RELHUM2MAVG,RELHUM2MMAX,RELHUM2MMIN,RELHUM10MAVG,RELHUM10MMAX,RELHUM10MMIN,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,WSPD2MMAX,WSPD10MAVG,WSPD10MMAX,WDIR2M,WDIR2MSTD,WDIR10M,WDIR10MSTD,SOILTMP5AVG,SOILTMP5MAX,SOILTMP5MIN,SOILTMP10AVG,SOILTMP10MAX,SOILTMP10MIN,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,SOILEC5CM,SOILEC10CM,SOILEC20CM,SOILEC50CM,SOILKA5CM,SOILKA10CM,SOILKA20CM,SOILKA50CM,SOILPA5CM,SOILPA10CM,SOILPA20CM,SOILPA50CM,SOILVR5CM,SOILVR10CM,SOILVR20CM,SOILVR50CM,VWC5CM,VWC10CM,VWC20CM,VWC50CM
737151,2018-04-01 00:00:00,Hodgeman,93.57,94.18,92.8,101.99,7.27,-1.17,13.83,7.46,-1.17,13.83,54.51,88.52,36.97,53.1,88.52,36.97,0.5,0,232.08,20.05,4.19,11.47,5.78,13.56,0,56.9,5.99,59.1,10.48,13.12,8.62,10.45,12.12,9.1,10.78,10.64,10.23,9.7,0.14266,0.2313,0.27696,0.78079,14.78,18.83,17.73,29.37,1.6273,1.718,1.6967,1.9712,1.1805,1.2908,1.3532,1.9852,0.2723,0.3305,0.3158,0.4391
737152,2018-04-02 00:00:00,Hodgeman,93.84,94.19,93.32,102.64,-1.86,-5.95,1.21,-1.94,-5.95,1.21,56.66,81.09,43.35,56.08,81.09,43.35,0.24,0,99.85,8.63,3.49,8.72,5.11,10.47,50.34,35.94,57.07,38.37,7.56,9.01,6.35,8.21,9.85,7.35,6.22,7.98,8.98,9.74,0.12347,0.21162,0.26568,0.7813,14.05,18.26,17.49,29.38,1.6067,1.7037,1.6904,1.9714,1.1562,1.2659,1.3387,1.9858,0.2605,0.3229,0.3125,0.4392
737153,2018-04-03 00:00:00,Hodgeman,92.14,93.42,91.1,100.67,6.95,-6.22,22.02,6.61,-6.22,22.02,55,85.61,22.92,54.81,85.61,22.92,0.68,0,238.49,20.61,3.9,10.53,5.53,12.82,131.82,28.12,142.92,27.17,7.81,11.52,4.64,7.85,10.45,5.6,7.88,7.56,7.88,9.29,0.12535,0.20658,0.25598,0.76871,13.8,17.95,17.31,29.17,1.6005,1.6965,1.6854,1.9668,1.1586,1.2596,1.3263,1.9697,0.2565,0.3188,0.31,0.4375
737154,2018-04-04 00:00:00,Hodgeman,93.1,94.21,91.03,101.56,4.07,-6.91,13.3,4.5,-6.91,13.3,50.94,99.83,15.37,48.38,99.83,15.37,0.45,0,217.28,18.77,6.01,16.21,8.06,20.97,322.94,43.44,332.27,43.52,8.54,10,6.67,8.77,9.6,7.75,8.57,8.94,8.92,9.12,0.12719,0.21323,0.26474,0.76384,13.55,17.84,17.43,29.09,1.594,1.6944,1.6889,1.9651,1.1609,1.2679,1.3375,1.9635,0.2523,0.3173,0.3117,0.4368
737155,2018-04-05 00:00:00,Hodgeman,93.7,94.24,93.11,102.39,5.63,-9.57,18.71,6.02,-9.57,18.71,36.15,82.74,9.26,32.07,82.74,9.26,0.85,0,221.24,19.11,4.54,14.82,6.12,17.62,160.71,45.74,166.92,29.61,7.15,10.04,4.43,7.41,9.35,5.5,7.05,7.2,7.79,9.03,0.11862,0.20068,0.25434,0.76069,13.1,17.41,17.22,29.03,1.5813,1.6836,1.6832,1.964,1.1501,1.2521,1.3242,1.9594,0.2448,0.3113,0.3087,0.4364
737156,2018-04-06 00:00:00,Hodgeman,93.12,93.31,92.87,101.44,12.73,2.38,22.5,12.95,2.38,22.5,31.33,52.08,15.13,30.09,52.08,15.13,1.13,0,228.71,19.76,2.08,10.27,3.25,12.54,93.93,62.6,105.8,68.04,10.21,14.49,6.56,9.75,12.81,7.17,11.74,10.03,9,8.84,0.13317,0.21641,0.26471,0.75501,12.99,17.43,17.37,28.92,1.5798,1.6852,1.6874,1.9617,1.1685,1.272,1.3375,1.9522,0.2429,0.3116,0.3107,0.4355
737157,2018-04-07 00:00:00,Hodgeman,93.63,94.29,92.97,102.22,0.01,-8.96,9.06,-0.05,-8.96,9.06,64.08,91.62,43.32,64.12,91.62,43.32,0.26,0,63.79,5.51,5.93,13.6,8.19,16.21,14.31,20.7,21.26,18.31,8.52,11.07,6.54,9.05,11.21,7.28,7.72,9.11,9.55,9.2,0.11902,0.20942,0.26877,0.76366,12.4,17.08,17.37,29.04,1.5624,1.6765,1.6879,1.9644,1.1506,1.2631,1.3427,1.9632,0.2327,0.3066,0.3108,0.4365
737158,2018-04-08 00:00:00,Hodgeman,93.83,94.26,92.98,102.78,-3.33,-8.68,4.35,-3.52,-8.68,4.35,57.99,89.98,30.88,57.1,89.98,30.88,0.23,3.56,245.61,21.22,2.07,6.51,2.82,8.8,48.47,69.94,56.6,71.37,7.64,10.91,6.09,7.81,9.92,6.64,6.29,7.18,7.79,9.07,0.11132,0.19536,0.2535,0.75964,12.14,16.69,17.07,28.97,1.5545,1.6665,1.6796,1.9629,1.1408,1.2454,1.3231,1.9581,0.2282,0.3012,0.3065,0.4359
737159,2018-04-09 00:00:00,Hodgeman,92.61,93.11,92.06,101.14,6.16,-0.63,17.68,6.42,-0.63,17.68,65.3,93.75,40.46,60.96,93.75,40.46,0.37,4.57,123.38,10.66,3.12,12.07,4.45,16.21,165.74,44.09,177.74,37.38,7.54,10.27,5.72,7.69,9.46,6.42,6.67,7.19,7.55,8.75,0.11779,0.19494,0.25167,0.75113,12.65,16.58,17.02,28.82,1.5688,1.6638,1.6782,1.9597,1.149,1.2449,1.3208,1.9472,0.2369,0.2995,0.3058,0.4347
737160,2018-04-10 00:00:00,Hodgeman,93.81,94.38,92.87,102.31,7.12,-0.9,14.95,7.36,-0.9,14.95,71.36,95.96,41.13,68.78,95.96,41.13,0.34,0.76,140.42,12.13,1.71,9.62,2.58,11.8,0,63.36,17.39,70.37,8.94,11.29,7.26,8.84,10.5,7.6,8.95,8.8,8.46,8.64,0.13401,0.20393,0.25959,0.74837,13.29,16.65,17.14,28.78,1.5879,1.6661,1.6817,1.9588,1.1696,1.2562,1.3309,1.9437,0.248,0.3005,0.3075,0.4343
737161,2018-04-11 00:00:00,Hodgeman,93.82,94.41,93.16,102.28,11.64,-0.48,24.24,12.26,-0.48,24.24,56.33,98.84,13.87,52.56,98.84,13.87,0.94,0.25,245.68,21.23,2.96,13.8,4.3,17.97,216.48,41.54,220.53,28.6,9.36,13.14,6.05,9.14,11.8,6.79,10.21,9.33,8.85,8.78,0.13734,0.20705,0.26295,0.75164,13.08,16.59,17.19,28.82,1.5826,1.665,1.6831,1.9597,1.1738,1.2602,1.3352,1.9479,0.2445,0.2997,0.3082,0.4346
737162,2018-04-12 00:00:00,Hodgeman,92.6,93.25,92.15,100.73,18.03,7.97,29.09,18.89,7.97,29.09,36.62,60.54,8.85,32.65,60.54,8.85,1.59,0,177.73,15.36,2.74,10.47,4.08,13.15,199.4,46.2,199.58,43.48,11.16,13.97,8.74,10.77,12.86,8.99,12.7,11.39,10.28,9.08,0.1438,0.21888,0.2752,0.75848,12.82,16.57,17.38,28.91,1.5765,1.6655,1.6886,1.9618,1.182,1.2751,1.3509,1.9566,0.2401,0.2994,0.3109,0.4354
737163,2018-04-13 00:00:00,Hodgeman,91.55,92.23,90.92,99.54,20.15,3.19,35.03,20.67,3.19,35.03,42.55,99.78,5.5,40.99,99.78,5.5,2.05,0,227.16,19.63,2.99,14.88,4.53,17.13,191.49,60.51,198.93,66.37,12.61,15.92,9.32,12.06,14.49,9.75,14.48,12.74,11.36,9.58,0.14549,0.22546,0.28396,0.77009,12.46,16.4,17.49,29.06,1.5668,1.662,1.692,1.9653,1.1841,1.2834,1.3621,1.9715,0.2337,0.2968,0.3125,0.4366
737164,2018-04-14 00:00:00,Hodgeman,91.79,92.86,90.9,99.92,8.37,-2.26,22.5,8.43,-2.26,22.5,62.95,96.48,13.52,62.5,96.48,13.52,0.51,0,92.93,8.03,6.31,16.35,8.77,21.54,286.69,33.47,292.66,31.81,11.65,13.4,8.94,11.81,13.24,9.92,11.93,12.31,11.88,10.18,0.13287,0.2213,0.28797,0.78418,11.85,16.04,17.51,29.27,1.5489,1.6532,1.6926,1.9698,1.1681,1.2781,1.3673,1.9895,0.223,0.2916,0.3127,0.4383
737165,2018-04-15 00:00:00,Hodgeman,93.32,93.86,92.76,102.07,-1.55,-6.09,2.78,-1.57,-6.09,2.78,68.16,89.57,46.34,67.17,89.57,46.34,0.18,0,121.39,10.49,8.44,16.62,11.33,23.19,310.34,16.17,316.82,14.17,7.27,8.93,5.86,8.1,9.92,6.95,5.98,7.81,9.17,10.26,0.10905,0.19266,0.26487,0.78508,11.26,15.45,17.06,29.27,1.5294,1.6365,1.6803,1.9699,1.1379,1.242,1.3377,1.9906,0.2121,0.2827,0.3064,0.4383
737166,2018-04-16 00:00:00,Hodgeman,93.84,94.08,93.59,102.61,1.78,-7.38,12.99,1.95,-7.38,12.99,44.83,81.23,14.08,42.62,81.23,14.08,0.51,0,269.71,23.3,3.64,10.11,5.06,12.47,316.22,30.24,322.38,35.05,7.06,10.66,4.11,7.34,9.84,5.23,7.33,7.19,7.78,9.59,0.10833,0.18628,0.25213,0.76675,11.02,15.2,16.8,29,1.5225,1.6299,1.6732,1.9639,1.137,1.234,1.3214,1.9672,0.2077,0.2789,0.3027,0.4361
737167,2018-04-17 00:00:00,Hodgeman,93.41,93.96,92.6,102.01,6.07,-7.18,18.44,6.02,-7.18,18.44,47.12,85.2,18.14,45.22,85.2,18.14,0.69,0,261.62,22.6,3.19,9.8,4.67,11.47,87.82,38,93.23,43.18,8.69,12.88,5.05,8.63,11.55,6.02,8.98,8.43,8.38,9.2,0.11204,0.19206,0.25636,0.75556,10.81,15.09,16.83,28.81,1.5171,1.6278,1.6743,1.9599,1.1417,1.2412,1.3268,1.9529,0.2038,0.2772,0.3031,0.4346
737168,2018-04-18 00:00:00,Hodgeman,92.16,92.8,91.26,100.39,14.68,-1.16,33.94,14.81,-1.16,33.94,39.66,82.05,3.72,38.33,82.05,3.72,1.58,0,257.99,22.29,5.14,21.8,7.35,27.44,51.9,83.52,61.4,81.82,11.26,15.47,7.17,10.76,13.8,7.87,12.7,10.86,9.81,9.24,0.11985,0.20425,0.26769,0.75544,10.45,14.99,16.98,28.77,1.5076,1.6265,1.6788,1.9592,1.1516,1.2566,1.3413,1.9527,0.1969,0.2756,0.3053,0.4342
737169,2018-04-19 00:00:00,Hodgeman,93.68,94.35,92.7,102.03,10.1,-1.3,17.62,10.27,-1.3,17.62,42.63,81.08,19.02,41.29,81.08,19.02,0.82,0,266.11,22.99,6.69,15.41,9.19,19.85,315.17,30.51,321.86,32.66,11.71,14.04,9.66,11.59,13.03,10.09,12.53,11.76,11.01,9.7,0.11515,0.20685,0.27699,0.76598,9.78,14.66,17.06,28.9,1.4871,1.6186,1.6814,1.9623,1.1457,1.2599,1.3532,1.9662,0.1839,0.2704,0.3064,0.4353
737170,2018-04-20 00:00:00,Hodgeman,94.41,94.8,94.03,103.01,6.98,-4.44,17.82,7.3,-4.44,17.82,54.14,93.2,22.92,51.94,93.2,22.92,0.62,0,266.26,23,2.06,7.7,3.02,9.62,79.99,41.68,78.68,62.03,11.38,15.71,7.73,11.21,14.11,8.58,11.85,11.13,10.67,10.04,0.10722,0.19895,0.27194,0.77243,9.19,14.22,16.9,28.98,1.4682,1.607,1.6773,1.9641,1.1356,1.2499,1.3467,1.9745,0.1722,0.2634,0.3041,0.436
737171,2018-04-21 00:00:00,Hodgeman,93.88,94.24,93.46,102.37,8.61,3.47,14.32,8.73,3.47,14.32,61.45,97.16,35.6,59.31,97.16,35.6,0.45,6.86,66.26,5.72,4.05,11.8,5.95,14.62,91.25,29.42,99.75,30.59,10.51,11.36,9.76,10.72,11.8,10.16,10.14,10.58,10.69,10.24,0.10085,0.19313,0.27035,0.77568,8.8,13.86,16.79,29,1.455,1.5973,1.6746,1.9647,1.1275,1.2426,1.3447,1.9786,0.1642,0.2575,0.3025,0.4361
737172,2018-04-22 00:00:00,Hodgeman,93.77,94.08,93.41,102.29,6.38,5.51,7.83,6.4,5.51,7.83,97.21,99.83,89.1,95.64,99.83,89.1,0.03,1.27,34.41,2.97,3,6.53,4.33,10.05,24.78,28.99,30.72,26.93,9.41,9.9,8.98,9.66,10.24,9.34,8.91,9.59,9.96,10.23,0.13772,0.18653,0.26398,0.77456,13.19,13.68,16.61,28.97,1.5851,1.592,1.67,1.9641,1.1743,1.2343,1.3365,1.9772,0.2459,0.2545,0.3,0.4359
737173,2018-04-23 00:00:00,Hodgeman,93.87,94.1,93.61,102.36,9.59,3.6,17.07,9.54,3.6,17.07,72.51,98.81,37.33,70.71,98.81,37.33,0.42,0.25,221.23,19.11,2.59,7.7,3.58,8.76,347.68,36.52,0,37.22,10.97,14.38,8.09,10.64,13.16,8.58,11.48,10.63,10.06,10.05,0.13824,0.19177,0.26516,0.76966,14.3,13.69,16.61,28.9,1.6145,1.5927,1.6701,1.9626,1.1749,1.2409,1.338,1.9709,0.2646,0.2546,0.3,0.4353
737174,2018-04-24 00:00:00,Hodgeman,93.7,93.98,93.38,102.06,12.88,2.64,22.5,13.05,2.64,22.5,60.78,96.36,26.98,58.32,96.36,26.98,0.76,0,252.4,21.81,0.97,6.17,1.81,7.23,107.62,70.47,118.45,86.42,13.19,17.61,9.54,12.64,15.77,9.99,14.5,12.96,11.58,10.24,0.13977,0.20433,0.27769,0.77366,13.04,13.71,16.8,28.94,1.5818,1.5947,1.6757,1.9636,1.1769,1.2567,1.3541,1.976,0.2437,0.255,0.3028,0.4356
737175,2018-04-25 00:00:00,Hodgeman,94.04,94.44,93.49,102.51,7.43,4.01,11.38,7.84,4.01,11.38,88.25,97.92,76.39,85.26,97.92,76.39,0.12,7.87,43.26,3.74,3.65,10.88,5.05,14.58,318.74,24.26,325.24,34.28,11.18,13.12,9.47,11.49,13.43,10.18,10.69,11.64,11.79,10.78,0.12188,0.19472,0.27803,0.78654,12.02,13.44,16.73,29.1,1.5524,1.5867,1.6741,1.9673,1.1542,1.2446,1.3545,1.9925,0.2261,0.2505,0.3018,0.4369
