MATLAB_DATE,TIMESTAMP,STATION,PRESSUREAVG,PRESSUREMAX,PRESSUREMIN,SLPAVG,TEMP2MAVG,TEMP2MMIN,TEMP2MMAX,TEMP10MAVG,TEMP10MMIN,TEMP10MMAX,RELHUM2MAVG,RELHUM2MMAX,RELHUM2MMIN,RELHUM10MAVG,RELHUM10MMAX,RELHUM10MMIN,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,WSPD2MMAX,WSPD10MAVG,WSPD10MMAX,WDIR2M,WDIR2MSTD,WDIR10M,WDIR10MSTD,SOILTMP5AVG,SOILTMP5MAX,SOILTMP5MIN,SOILTMP10AVG,SOILTMP10MAX,SOILTMP10MIN,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,SOILEC5CM,SOILEC10CM,SOILEC20CM,SOILEC50CM,SOILKA5CM,SOILKA10CM,SOILKA20CM,SOILKA50CM,SOILPA5CM,SOILPA10CM,SOILPA20CM,SOILPA50CM,SOILVR5CM,SOILVR10CM,SOILVR20CM,SOILVR50CM,VWC5CM,VWC10CM,VWC20CM,VWC50CM
737151,2018-04-01 00:00:00,Lake City,95.8,96.42,95.31,101.81,10.09,1.9,18.26,10.04,1.9,18.26,55.05,87.46,34.87,54,87.46,34.87,0.61,0,199.67,17.25,5.19,14.07,6.23,14.82,50.36,50.84,42.05,51.44,14.29,19.7,10.16,14.18,18.67,10.59,13.72,13.83,13.38,12.16,0.04581,0.09957,0.07661,0.03048,4.82,8.71,7.15,3.52,1.2947,1.4361,1.3881,1.2309,1.0576,1.1254,1.0978,1.0384,0.0754,0.1624,0.1291,0.0431
737152,2018-04-02 00:00:00,Lake City,96.18,96.43,95.83,102.46,-0.43,-3.05,2.11,-0.53,-3.05,2.11,53.89,73.9,36.87,53.39,73.9,36.87,0.27,0,63.4,5.48,4.67,11.19,5.41,12.03,53.68,26.66,45.04,27.53,8.38,11.32,5.67,8.88,12.1,6.41,7.58,8.71,10.58,12.05,0.03681,0.0841,0.06955,0.03035,4.69,8.42,7,3.51,1.2868,1.4244,1.3817,1.2305,1.0463,1.1059,1.0888,1.0383,0.0722,0.1565,0.126,0.0429
737153,2018-04-03 00:00:00,Lake City,94.72,95.88,93.67,100.9,4.57,-4.48,15.47,4.3,-4.48,15.47,67.9,95.34,39.56,68.38,95.34,39.56,0.35,0,186.28,16.09,4.11,11.25,5.61,12.15,139.26,34.17,129.31,30.84,9.15,15.45,3.93,8.99,14.4,4.56,9.09,8.9,8.9,10.44,0.03744,0.08238,0.06577,0.02879,4.6,8.3,6.9,3.49,1.2834,1.42,1.3774,1.2289,1.0471,1.1037,1.084,1.0363,0.0701,0.1538,0.1237,0.0424
737154,2018-04-04 00:00:00,Lake City,95.28,96.58,93.45,101.34,6.43,-3.73,13.11,6.7,-3.73,13.11,55.4,97.38,14.14,53.48,97.38,14.14,0.44,0,141.36,12.21,6.74,18.99,8.13,21.21,0.58,54.33,347.16,56.38,10.23,13.22,7.25,10.31,12.65,8.07,9.68,10.05,10.35,10.56,0.03659,0.08473,0.06823,0.02891,4.45,8.21,6.85,3.5,1.2769,1.4176,1.3762,1.2294,1.046,1.1067,1.0871,1.0364,0.0664,0.152,0.1226,0.0426
737155,2018-04-05 00:00:00,Lake City,96.28,96.77,95.75,102.53,5.16,-7.19,16.76,5.36,-7.19,16.76,41.63,84.27,11.96,38.38,84.27,11.96,0.71,0,207.87,17.96,4.15,16.03,5.06,16.25,184.41,53.19,173.11,54.92,9.58,15.71,3.68,9.47,14.68,4.43,9.39,9.29,9.29,10.2,0.0347,0.08127,0.06546,0.02859,4.34,8.07,6.77,3.49,1.2719,1.4126,1.3727,1.229,1.0437,1.1023,1.0836,1.036,0.0637,0.1492,0.1208,0.0424
737156,2018-04-06 00:00:00,Lake City,95.47,95.85,95.14,101.45,13.39,6.38,21.79,13.37,6.38,21.79,37.01,60.66,22.03,36.1,60.66,22.03,1.04,0,221.35,19.12,2.31,8.92,3.13,9.86,144.77,48.12,135.34,44.59,14.79,22.21,9.12,14.3,20.62,9.32,14.58,13.86,12.26,10.62,0.03641,0.09136,0.07111,0.02906,4.09,8.01,6.74,3.51,1.2618,1.4123,1.3731,1.2297,1.0458,1.115,1.0908,1.0366,0.0574,0.1478,0.1202,0.0428
737157,2018-04-07 00:00:00,Lake City,95.77,96.59,95.18,101.88,2.7,-7.32,11.41,2.78,-7.32,11.41,65.47,90.07,45.29,63.66,90.07,45.29,0.29,7.37,32.5,2.81,6.93,15.64,8.03,16.66,35.24,16.75,26.06,17.28,9.86,15.12,3.93,10.46,15.39,4.87,8.7,10.04,11.78,11.88,0.04628,0.08235,0.06907,0.03033,5.52,7.9,6.65,3.52,1.3169,1.4072,1.3694,1.2309,1.0582,1.1037,1.0882,1.0382,0.0904,0.1456,0.1182,0.0431
737158,2018-04-08 00:00:00,Lake City,96.25,96.68,95.62,102.65,-2.14,-7.94,4.95,-2.2,-7.94,4.95,57.09,88.22,27.13,53.77,88.22,27.13,0.26,0,207.17,17.9,3.34,10.8,4.09,12.21,45.49,63.68,36.82,63.21,5.96,12.12,2.22,6.16,11.26,2.84,5.65,5.99,7.25,10.12,0.05481,0.07542,0.06032,0.02861,6.34,8.28,6.62,3.5,1.3545,1.4182,1.3663,1.2293,1.0689,1.0949,1.0771,1.036,0.1111,0.1535,0.1174,0.0426
737159,2018-04-09 00:00:00,Lake City,95.08,95.67,94.67,101.2,7.84,0.82,17.85,7.73,0.82,17.85,47.21,73.99,29.78,45.61,73.99,29.78,0.62,0,172.56,14.91,3.6,12.94,4.46,13.96,171.79,38.1,160.31,37.7,9.46,15.33,4.39,9.22,14.34,4.85,9.03,8.84,8.51,9.35,0.05107,0.08339,0.06364,0.02794,5.57,8.49,6.72,3.49,1.3253,1.4263,1.3707,1.2286,1.0642,1.105,1.0813,1.0352,0.0934,0.1578,0.1197,0.0423
737160,2018-04-10 00:00:00,Lake City,96.14,96.78,95.24,102.26,6.9,0.54,12.42,7.16,0.54,12.42,73.8,95.78,53.31,70.96,95.78,53.31,0.28,1.27,104.8,9.05,2.36,7.21,2.81,7.92,24.63,52.09,18.89,49.51,10.18,13.29,8.07,10.19,12.7,8.44,9.57,9.81,9.9,9.93,0.04921,0.0855,0.06623,0.02852,5.36,8.41,6.73,3.51,1.3166,1.4242,1.3714,1.2296,1.0619,1.1076,1.0846,1.0359,0.0883,0.1562,0.1198,0.0428
