MATLAB_DATE,TIMESTAMP,STATION,PRESSUREAVG,PRESSUREMAX,PRESSUREMIN,SLPAVG,TEMP2MAVG,TEMP2MMIN,TEMP2MMAX,TEMP10MAVG,TEMP10MMIN,TEMP10MMAX,RELHUM2MAVG,RELHUM2MMAX,RELHUM2MMIN,RELHUM10MAVG,RELHUM10MMAX,RELHUM10MMIN,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,WSPD2MMAX,WSPD10MAVG,WSPD10MMAX,WDIR2M,WDIR2MSTD,WDIR10M,WDIR10MSTD,SOILTMP5AVG,SOILTMP5MAX,SOILTMP5MIN,SOILTMP10AVG,SOILTMP10MAX,SOILTMP10MIN,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,SOILEC5CM,SOILEC10CM,SOILEC20CM,SOILEC50CM,SOILKA5CM,SOILKA10CM,SOILKA20CM,SOILKA50CM,SOILPA5CM,SOILPA10CM,SOILPA20CM,SOILPA50CM,SOILVR5CM,SOILVR10CM,SOILVR20CM,SOILVR50CM,VWC5CM,VWC10CM,VWC20CM,VWC50CM
737151,2018-04-01 00:00:00,Lane,91.84,92.35,91.13,102.07,5.76,-0.95,11.5,5.97,-0.95,11.5,55.01,85.23,37.59,53.62,85.23,37.59,0.43,0,266.2,23,5.3,15.52,6.91,14.92,26.65,46.31,30.5,46.75,10.19,14.93,6.83,10.18,12.46,8.23,10.04,10.04,9.7,9.05,0.13124,0.16784,0.46371,0.62141,8.55,9.5,21.52,22.03,1.4324,1.4722,1.7997,1.8243,1.1685,1.2076,1.5825,1.7858,0.1591,0.1785,0.3635,0.3693
737152,2018-04-02 00:00:00,Lane,91.98,92.33,91.45,102.6,-1.73,-5.51,3.06,-1.91,-5.51,3.06,55.97,77.89,45.18,56.3,77.89,45.18,0.24,0,162.04,14,3.67,10.02,4.97,11.31,83.45,46.61,84.69,44.59,6.81,11.03,4.14,7.94,9.63,6.28,7.14,7.68,8.64,9.12,0.11436,0.15386,0.44456,0.62215,8.25,9.31,21.17,22.04,1.4201,1.4644,1.7912,1.8245,1.1469,1.1902,1.5583,1.7868,0.1528,0.1747,0.3595,0.3694
737153,2018-04-03 00:00:00,Lane,90.23,91.5,89.27,100.48,7.71,-6.05,25.63,7.51,-6.05,25.63,51.17,81.85,17.61,51.17,81.85,17.61,0.81,0,262.06,22.64,5.27,10.82,6.9,12.86,158.29,21.03,157.97,20.73,8.42,15.91,1.97,8.18,12.37,4.64,8.19,7.99,7.91,8.78,0.11731,0.15475,0.432,0.61468,8.22,9.32,20.88,21.92,1.4197,1.4646,1.7841,1.8214,1.1507,1.1913,1.5424,1.7772,0.1522,0.1747,0.356,0.3681
737154,2018-04-04 00:00:00,Lane,91.39,92.33,89.26,101.65,2.75,-6.72,12.95,3.12,-6.72,12.95,48.01,94.37,15.1,46.43,94.37,15.1,0.42,0,262.94,22.72,8.31,20.76,10.72,23.91,352.95,50.85,0,50.75,8.67,11.64,4.72,9.19,10.8,7.52,8.75,9.03,9.1,8.72,0.11245,0.15801,0.44635,0.61307,8.05,9.33,21.03,21.88,1.4137,1.4655,1.7884,1.8206,1.1444,1.1954,1.5605,1.7752,0.1487,0.175,0.3578,0.3677
737155,2018-04-05 00:00:00,Lane,91.78,92.39,91.22,102.24,6.26,-8.63,20.01,6.75,-8.63,20.01,29.92,66.31,8.55,26.9,66.31,8.55,0.93,0,254.5,21.99,5.47,14.31,7.46,17.25,175.77,18.42,173.85,16.71,7.28,13.92,1.55,7.56,11.04,4.44,7.15,7.26,7.75,8.7,0.10422,0.14744,0.42339,0.61107,7.85,9.19,20.58,21.85,1.4057,1.4596,1.7773,1.8197,1.1338,1.1823,1.5315,1.7726,0.1443,0.1722,0.3524,0.3672
737156,2018-04-06 00:00:00,Lane,91.35,91.55,91.13,101.42,11.74,-2.38,22.5,12.25,-2.38,22.5,30.81,63.35,12.36,28.74,63.35,12.36,1.14,0,257.03,22.21,2.77,8.7,3.58,10.23,57.65,80.89,70.58,79.57,11.57,18.58,5.18,10.52,14.44,6.96,11.1,10.48,9.18,8.55,0.11305,0.16088,0.44015,0.60767,7.92,9.35,20.7,21.78,1.4097,1.4665,1.7813,1.818,1.1452,1.1989,1.5527,1.7683,0.1459,0.1754,0.3539,0.3665
737157,2018-04-07 00:00:00,Lane,91.88,92.43,91.29,102.29,-1.48,-9.18,7.83,-1.57,-9.18,7.83,69.72,90.74,46.42,70.47,90.74,46.42,0.2,0,60.45,5.22,6.72,14.03,8.67,15.88,31.26,15.41,33.55,14.85,7.23,11.87,3.93,8.76,12.19,6.07,7.7,8.57,9.55,8.97,0.09395,0.14877,0.44178,0.61561,7.51,9.18,20.68,21.85,1.393,1.4595,1.7811,1.8203,1.1207,1.1839,1.5548,1.7784,0.1371,0.172,0.3537,0.3673
737158,2018-04-08 00:00:00,Lane,91.93,92.4,91.06,102.76,-3.87,-10.61,3.81,-4.01,-10.61,3.81,62.05,85.45,37.88,61.41,85.45,37.88,0.2,3.3,277.12,23.94,2.74,8.86,3.44,10.74,107.19,70.71,106.96,69.04,5.87,10.97,3.26,6.63,9.17,5.13,6.13,6.37,7.28,8.81,0.09007,0.13817,0.40927,0.61012,7.41,9.01,20.13,21.75,1.3888,1.4528,1.7669,1.8178,1.1157,1.1708,1.5136,1.7714,0.1349,0.1686,0.347,0.3662
737159,2018-04-09 00:00:00,Lane,90.75,91.33,90.13,101.02,6.54,-1.15,19.46,7.09,-1.15,19.46,59.99,97.62,19.39,55.45,97.62,19.39,0.51,1.78,173.15,14.96,4.56,15.21,6.1,20.17,210.62,89.29,197.85,88.65,7.29,13.39,3.5,7.4,10.63,5.24,7.41,7.33,7.41,8.38,0.09289,0.14213,0.4099,0.60094,7.4,9.03,20.08,21.61,1.3891,1.4541,1.7659,1.8142,1.1193,1.1757,1.5144,1.7597,0.1347,0.1691,0.3463,0.3646
737160,2018-04-10 00:00:00,Lane,92.04,92.55,91.27,102.28,7.65,-0.88,14.77,7.98,-0.88,14.77,58.69,90.96,29.35,55.06,90.96,29.35,0.5,0,183.1,15.82,3.07,12.49,4.16,13.52,3.09,67.45,7.92,65.8,9.11,13.78,5.98,8.91,11.4,7.1,9.07,8.9,8.38,8.29,0.09506,0.14863,0.42088,0.59805,7.36,9.11,20.18,21.55,1.3883,1.4574,1.769,1.8128,1.1221,1.1838,1.5283,1.756,0.1338,0.1706,0.3476,0.3639
