Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.007
B,,1_2,0.004
B,,2_1,0.004
B,,2_2,0.005
C,,0,0.003
C,,0,0.003
C,,0,0.004
C,,1500,0.175
C,,1500,0.17
C,,1500,0.177
C,,3000,0.338
C,,3000,0.337
C,,3000,0.335
C,,4500,0.479
C,,4500,0.503
C,,4500,0.499
O,0.3,RV2_01,0.061
D,0.3,RV2_01,0.061
O,0.3,RV2_02,0.143
D,0.3,RV2_02,0.14
O,0.3,RV2_03,0.201
D,0.3,RV2_03,0.198
O,0.3,RV2_04,0.221
D,0.3,RV2_04,0.218
O,0.3,RV2_05,0.05
D,0.3,RV2_05,0.045
O,0.3,RV2_06,0.048
D,0.3,RV2_06,0.05
O,0.3,RV2_07,0.057
D,0.3,RV2_07,0.057
O,0.3,RV2_08,0.256
D,0.3,RV2_08,0.248
O,0.3,RV2_09,0.113
D,0.3,RV2_09,0.113
O,0.3,RV2_10,0.157
D,0.3,RV2_10,0.158
O,0.3,RV2_11,0.076
D,0.3,RV2_11,0.082
O,0.3,RV2_12,0.209
D,0.3,RV2_12,0.199
O,0.3,RV2_13,0.079
D,0.3,RV2_13,0.037
O,0.3,RV2_14,0.136
D,0.3,RV2_14,0.142
O,0.3,RV2_15,0.109
D,0.3,RV2_15,0.115
O,0.3,RV2_16,0.17
D,0.3,RV2_16,0.175
O,0.3,RV2_17,0.048
D,0.3,RV2_17,0.047
O,0.3,RV2_18,0.239
D,0.3,RV2_18,0.234
O,0.3,RV2_19,0.06
D,0.3,RV2_19,0.06
O,0.3,RV2_20,0.06
D,0.3,RV2_20,0.058
O,0.3,RV2_21,0.133
D,0.3,RV2_21,0.129
O,0.3,RV2_22,0.189
D,0.3,RV2_22,0.193
O,0.3,RV2_23,0.045
D,0.3,RV2_23,0.04
O,0.3,RV2_24,0.211
D,0.3,RV2_24,0.211
O,0.3,RV2_25,0.051
D,0.3,RV2_25,0.05
O,0.3,RV2_26,0.082
D,0.3,RV2_26,0.087
O,0.3,RV2_27,0.313
D,0.3,RV2_27,0.321
O,0.3,RV2_28,0.134
D,0.3,RV2_28,0.13
