Date	Time	Step	Mass (g)	Uair (kPa)
7/24/2019	9:19:52 AM	small increment	0.39003218750000057	3.0
7/24/2019	9:22:02 AM	small increment	0.4201716666666672	4.0
7/24/2019	9:24:12 AM	small increment	0.4403111458333339	4.0
7/24/2019	9:26:23 AM	small increment	0.46045169791666724	4.0
7/24/2019	9:28:33 AM	small increment	0.4905911770833339	4.0
7/24/2019	9:30:43 AM	small increment	0.5107306562500006	4.0
7/24/2019	9:32:53 AM	small increment	0.5308701354166673	4.0
7/24/2019	9:35:03 AM	small increment	0.5510096145833339	4.0
7/24/2019	9:37:14 AM	small increment	0.5711501666666672	4.0
7/24/2019	9:39:24 AM	small increment	0.6012896458333339	4.0
7/24/2019	9:41:34 AM	small increment	0.6214291250000006	4.0
7/24/2019	9:43:44 AM	small increment	0.6415686041666673	4.0
7/24/2019	9:45:54 AM	small increment	0.661708083333334	4.0
7/24/2019	9:48:05 AM	small increment	0.6818486354166673	4.0
7/24/2019	9:50:15 AM	small increment	0.7019881145833339	4.0
7/24/2019	9:52:25 AM	small increment	0.7221275937500006	4.0
7/24/2019	9:54:35 AM	small increment	0.7322670729166673	4.0
7/24/2019	9:56:45 AM	small increment	0.7524065520833338	4.0
7/24/2019	9:58:55 AM	small increment	0.7725460312500005	4.0
7/24/2019	10:01:06 AM	small increment	0.7926865833333339	4.0
7/24/2019	10:03:16 AM	small increment	0.8028260625000005	4.0
7/24/2019	10:05:26 AM	small increment	0.8229655416666672	4.0
7/24/2019	10:07:36 AM	small increment	0.8431050208333339	4.0
7/24/2019	10:09:46 AM	small increment	0.8532445000000006	4.0
7/24/2019	10:11:57 AM	small increment	0.873385052083334	4.0
7/24/2019	10:14:07 AM	small increment	0.8835245312500006	4.0
7/24/2019	10:16:17 AM	small increment	0.9036640104166672	4.0
7/24/2019	10:18:27 AM	small increment	0.9138034895833339	4.0
7/24/2019	10:20:38 AM	small increment	0.9239440416666672	4.0
7/24/2019	10:22:48 AM	small increment	0.9440835208333339	4.0
7/24/2019	10:24:58 AM	small increment	0.9542230000000006	4.0
7/24/2019	10:27:08 AM	small increment	0.9643624791666672	4.0
7/24/2019	10:29:18 AM	small increment	0.9845019583333339	4.0
7/24/2019	10:31:28 AM	small increment	0.9946414375000006	4.0
7/24/2019	10:33:39 AM	small increment	1.0047819895833339	4.0
7/24/2019	10:35:49 AM	small increment	1.0149214687500006	4.0
7/24/2019	10:37:59 AM	small increment	1.0250609479166672	4.0
7/24/2019	10:40:09 AM	small increment	1.035200427083334	4.0
7/24/2019	10:42:19 AM	small increment	1.0453399062500006	4.0
7/24/2019	10:44:30 AM	small increment	1.055480458333334	4.0
7/24/2019	10:46:40 AM	small increment	1.0656199375000006	4.0
7/24/2019	10:48:50 AM	small increment	1.0757594166666673	4.0
7/24/2019	10:51:00 AM	small increment	1.085898895833334	4.0
7/24/2019	10:53:20 AM	small increment	1.0960491041666671	4.0
7/24/2019	10:56:10 AM	small increment	1.1062315000000005	4.0
7/24/2019	10:59:41 AM	small increment	1.1164578854166671	4.0
7/24/2019	11:02:31 AM	small increment	1.1266402812500007	4.0
7/24/2019	11:06:21 AM	small increment	1.1368870520833338	4.0
7/24/2019	11:09:51 AM	small increment	1.1471123645833339	4.0
7/24/2019	11:13:22 AM	small increment	1.1573387500000005	4.0
7/24/2019	11:17:52 AM	small increment	1.1676284375000006	4.0
7/24/2019	11:21:43 AM	small increment	1.1778762812500005	4.0
7/24/2019	11:26:03 AM	small increment	1.188155239583334	4.0
7/24/2019	11:32:23 AM	small increment	1.1985629479166673	4.0
7/24/2019	11:39:04 AM	small increment	1.2089931875000006	4.0
7/24/2019	11:44:54 AM	small increment	1.219368708333334	4.0
7/24/2019	11:53:15 AM	small increment	1.2299062395833338	4.0
7/24/2019	12:02:46 PM	small increment	1.2405188750000007	4.0
7/24/2019	12:17:17 PM	small increment	1.2514533854166672	4.0
7/24/2019	12:37:09 PM	small increment	1.2627323020833339	4.0
7/24/2019	1:13:02 PM	small increment	1.2750422916666673	4.0
7/24/2019	2:24:53 PM	small increment	1.2896676354166674	4.0
7/24/2019	2:25:03 PM	Large increment	1.429678364583334	290.0
7/24/2019	2:27:14 PM	Large increment	3.119818916666667	290.0
7/24/2019	2:29:24 PM	Large increment	4.799958395833333	290.0
7/24/2019	2:31:39 PM	Large increment	6.450103239583334	290.0
7/24/2019	2:33:59 PM	Large increment	8.100253447916668	290.0
7/24/2019	2:36:19 PM	Large increment	9.61040365625	290.0
7/24/2019	2:38:50 PM	Large increment	10.990565666666667	290.0
7/24/2019	2:41:20 PM	Large increment	12.110726604166667	290.0
7/24/2019	2:43:50 PM	Large increment	13.000887541666668	290.0
7/24/2019	2:46:20 PM	Large increment	13.731048479166667	290.0
7/24/2019	2:48:50 PM	Large increment	14.341209416666667	290.0
7/24/2019	2:51:21 PM	Large increment	14.881371427083334	290.0
7/24/2019	2:53:51 PM	Large increment	15.361532364583333	290.0
7/24/2019	2:56:21 PM	Large increment	15.771693302083333	290.0
7/24/2019	2:58:51 PM	Large increment	16.151854239583336	290.0
7/24/2019	3:01:21 PM	Large increment	16.49201517708333	290.0
7/24/2019	3:03:52 PM	Large increment	16.8021771875	290.0
7/24/2019	3:06:22 PM	Large increment	17.092338125	290.0
7/24/2019	3:08:52 PM	Large increment	17.3524990625	290.0
7/24/2019	3:11:22 PM	Large increment	17.59266	290.0
7/24/2019	3:13:52 PM	Large increment	17.8128209375	290.0
7/24/2019	3:16:23 PM	Large increment	18.01298294791667	290.0
7/24/2019	3:18:53 PM	Large increment	18.203143885416665	290.0
7/24/2019	3:21:23 PM	Large increment	18.383304822916667	290.0
7/24/2019	3:23:53 PM	Large increment	18.553465760416668	290.0
7/24/2019	3:26:23 PM	Large increment	18.713626697916666	290.0
7/24/2019	3:28:54 PM	Large increment	18.853788708333337	290.0
7/24/2019	3:31:24 PM	Large increment	18.993949645833332	290.0
7/24/2019	3:33:54 PM	Large increment	19.13411058333333	290.0
7/24/2019	3:36:24 PM	Large increment	19.254271520833335	290.0
7/24/2019	3:38:55 PM	Large increment	19.374433531250002	290.0
7/24/2019	3:41:25 PM	Large increment	19.48459446875	290.0
7/24/2019	3:43:55 PM	Large increment	19.594755406250002	290.0
7/24/2019	3:46:25 PM	Large increment	19.694916343750002	290.0
7/24/2019	3:48:55 PM	Large increment	19.79507728125	290.0
7/24/2019	3:51:26 PM	Large increment	19.895239291666666	290.0
7/24/2019	3:53:56 PM	Large increment	19.985400229166668	290.0
7/24/2019	3:56:56 PM	Large increment	20.08559335416667	290.0
7/24/2019	3:59:56 PM	Large increment	20.185786479166666	290.0
7/24/2019	4:02:56 PM	Large increment	20.27597960416667	290.0
7/24/2019	4:05:57 PM	Large increment	20.376173802083336	290.0
7/24/2019	4:09:27 PM	Large increment	20.476399114583334	290.0
7/24/2019	4:12:57 PM	Large increment	20.566624427083333	290.0
7/24/2019	4:16:28 PM	Large increment	20.6668508125	290.0
7/24/2019	4:20:28 PM	Large increment	20.767108312500003	290.0
7/24/2019	4:24:28 PM	Large increment	20.857365812500003	290.0
7/24/2019	4:28:29 PM	Large increment	20.947624385416667	290.0
7/24/2019	4:32:59 PM	Large increment	21.047914072916665	290.0
7/24/2019	4:37:29 PM	Large increment	21.138203760416665	290.0
7/24/2019	4:42:30 PM	Large increment	21.228526708333334	290.0
7/24/2019	4:47:00 PM	Large increment	21.318816395833334	290.0
7/24/2019	4:52:31 PM	Large increment	21.40917153125	290.0
7/24/2019	4:58:01 PM	Large increment	21.49952559375	290.0
7/24/2019	5:03:32 PM	Large increment	21.58988072916667	290.0
7/24/2019	5:10:02 PM	Large increment	21.680299166666668	290.0
7/24/2019	5:16:03 PM	Large increment	21.770686489583337	290.0
7/24/2019	5:26:03 PM	Large increment	21.901330239583334	290.0
7/24/2019	5:36:03 PM	Large increment	22.021973989583337	290.0
7/24/2019	5:46:04 PM	Large increment	22.132618812500002	290.0
7/24/2019	5:56:04 PM	Large increment	22.2432625625	290.0
7/24/2019	6:06:04 PM	Large increment	22.3339063125	290.0
7/24/2019	6:16:04 PM	Large increment	22.4345500625	290.0
7/24/2019	6:31:04 PM	Large increment	22.555515687499998	290.0
7/24/2019	6:46:04 PM	Large increment	22.6764813125	290.0
7/24/2019	7:01:05 PM	Large increment	22.77744801041667	290.0
7/24/2019	7:16:05 PM	Large increment	22.878413635416667	290.0
7/24/2019	7:31:05 PM	Large increment	22.969379260416666	290.0
7/24/2019	7:46:05 PM	Large increment	23.060344885416665	290.0
7/24/2019	8:06:05 PM	Large increment	23.161632385416667	290.0
7/24/2019	8:26:06 PM	Large increment	23.252920958333334	290.0
7/24/2019	8:46:06 PM	Large increment	23.344208458333334	290.0
7/24/2019	9:11:07 PM	Large increment	23.44581890625	290.0
7/24/2019	9:36:07 PM	Large increment	23.53742828125	290.0
7/24/2019	10:06:07 PM	Large increment	23.63935953125	290.0
7/24/2019	10:36:08 PM	Large increment	23.731291854166667	290.0
7/24/2019	11:11:08 PM	Large increment	23.823544979166666	290.0
7/24/2019	11:46:09 PM	Large increment	23.915799177083333	290.0
7/25/2019	12:31:10 AM	Large increment	24.008697124999998	290.0
7/25/2019	1:16:11 AM	Large increment	24.101595072916666	290.0
7/25/2019	2:06:12 AM	Large increment	24.194814895833332	290.0
7/25/2019	3:06:12 AM	Large increment	24.288677395833332	290.0
7/25/2019	4:11:13 AM	Large increment	24.38286284375	290.0
7/25/2019	5:26:14 AM	Large increment	24.477692041666668	290.0
7/25/2019	6:51:15 AM	Large increment	24.573164989583336	290.0
7/25/2019	8:21:16 AM	Large increment	24.668959812500002	290.0
7/25/2019	10:06:18 AM	Large increment	24.765721333333335	290.0
7/25/2019	11:51:20 AM	Large increment	24.862482854166668	290.0
7/25/2019	1:56:22 PM	Large increment	24.960531875	290.0
7/25/2019	4:01:24 PM	Large increment	25.058580895833334	290.0
7/25/2019	6:11:26 PM	Large increment	25.146951791666666	290.0
7/25/2019	8:21:29 PM	Large increment	25.245323760416667	290.0
7/25/2019	10:46:31 PM	Large increment	25.334660281250002	290.0
7/26/2019	1:06:34 AM	Large increment	25.423676	290.0
7/26/2019	3:16:37 AM	Large increment	25.51204796875	290.0
7/26/2019	3:51:38 AM	Large increment	25.604302166666667	290.0
