Date	Time	Step	Mass (g)	Uair (kPa)
7/24/2019	9:21:02 AM	small increment	0.00010729166666865672	4.0
7/24/2019	9:23:12 AM	small increment	0.030246770833335324	4.0
7/24/2019	9:25:23 AM	small increment	0.050387322916668656	4.0
7/24/2019	9:27:33 AM	small increment	0.08052680208333532	4.0
7/24/2019	9:29:43 AM	small increment	0.10066628125000199	4.0
7/24/2019	9:31:53 AM	small increment	0.12080576041666866	4.0
7/24/2019	9:34:03 AM	small increment	0.14094523958333532	4.0
7/24/2019	9:36:14 AM	small increment	0.16108579166666867	4.0
7/24/2019	9:38:24 AM	small increment	0.1812252708333353	4.0
7/24/2019	9:40:34 AM	small increment	0.211364750000002	4.0
7/24/2019	9:42:44 AM	small increment	0.23150422916666866	4.0
7/24/2019	9:44:54 AM	small increment	0.2516437083333353	4.0
7/24/2019	9:47:04 AM	small increment	0.271783187500002	4.0
7/24/2019	9:49:15 AM	small increment	0.2919237395833353	4.0
7/24/2019	9:51:25 AM	small increment	0.312063218750002	4.0
7/24/2019	9:53:35 AM	small increment	0.3322026979166687	4.0
7/24/2019	9:55:45 AM	small increment	0.3523421770833353	4.0
7/24/2019	9:57:55 AM	small increment	0.362481656250002	4.0
7/24/2019	10:00:06 AM	small increment	0.3826222083333353	4.0
7/24/2019	10:02:16 AM	small increment	0.40276168750000196	4.0
7/24/2019	10:04:26 AM	small increment	0.41290116666666865	4.0
7/24/2019	10:06:36 AM	small increment	0.43304064583333535	4.0
7/24/2019	10:08:46 AM	small increment	0.453180125000002	4.0
7/24/2019	10:10:57 AM	small increment	0.4633206770833353	4.0
7/24/2019	10:13:07 AM	small increment	0.473460156250002	4.0
7/24/2019	10:15:17 AM	small increment	0.4935996354166686	4.0
7/24/2019	10:17:27 AM	small increment	0.5137391145833353	4.0
7/24/2019	10:19:38 AM	small increment	0.5238796666666686	4.0
7/24/2019	10:21:48 AM	small increment	0.5340191458333353	4.0
7/24/2019	10:23:58 AM	small increment	0.554158625000002	4.0
7/24/2019	10:26:08 AM	small increment	0.5642981041666686	4.0
7/24/2019	10:28:18 AM	small increment	0.5744375833333353	4.0
