WC	Pressure	K_sat
0.3748	0.0	9e-05
0.3748	1.41	8.68e-05
0.3748	1.68	8.63e-05
0.3748	2.0	8.57e-05
0.3748	2.37	8.51e-05
0.3748	2.82	8.44e-05
0.3747	3.35	8.36e-05
0.3747	3.98	8.26e-05
0.3747	4.73	8.15e-05
0.3746	5.62	8.03e-05
0.3746	6.68	7.89e-05
0.3745	7.94	7.73e-05
0.3744	9.44	7.54e-05
0.3742	11.2	7.33e-05
0.374	13.3	7.1e-05
0.3737	15.8	6.83e-05
0.3733	18.8	6.53e-05
0.3727	22.4	6.2e-05
0.372	26.6	5.83e-05
0.3709	31.6	5.42e-05
0.3696	37.6	4.97e-05
0.3677	44.7	4.49e-05
0.3653	53.1	3.98e-05
0.3621	63.1	3.45e-05
0.3579	75.0	2.91e-05
0.3526	89.1	2.38e-05
0.3459	106.0	1.88e-05
0.3377	126.0	1.43e-05
0.328	150.0	1.04e-05
0.3167	178.0	7.22e-06
0.3041	211.0	4.78e-06
0.2906	251.0	3.03e-06
0.2765	299.0	1.84e-06
0.2622	355.0	1.07e-06
0.2483	422.0	6.07e-07
0.235	501.0	3.34e-07
0.2226	596.0	1.79e-07
0.2112	708.0	9.46e-08
0.2008	841.0	4.92e-08
0.1915	1000.0	2.54e-08
0.1832	1190.0	1.3e-08
0.1759	1410.0	6.58e-09
0.1695	1680.0	3.32e-09
0.1638	2000.0	1.67e-09
0.1588	2370.0	8.41e-10
0.1545	2820.0	4.22e-10
0.1507	3350.0	2.11e-10
0.1474	3980.0	1.06e-10
0.1446	4730.0	5.29e-11
0.1421	5620.0	2.64e-11
0.1399	6680.0	1.32e-11
0.138	7940.0	6.59e-12
0.1363	9440.0	3.29e-12
0.1349	11200.0	1.64e-12
0.1337	13300.0	8.2e-13
0.1326	15800.0	4.1e-13
0.1316	18800.0	2.04e-13
0.1308	22400.0	1.02e-13
0.1301	26600.0	5.09e-14
0.1295	31600.0	2.54e-14
0.1289	37600.0	1.27e-14
0.1285	44700.0	6.33e-15
0.1281	53100.0	3.16e-15
0.1277	63100.0	1.58e-15
0.1274	75000.0	7.87e-16
0.1271	89100.0	3.93e-16
0.1269	106000.0	1.96e-16
0.1267	126000.0	9.78e-17
0.1265	150000.0	4.88e-17
0.1264	178000.0	2.43e-17
0.1262	211000.0	1.22e-17
0.1261	251000.0	6.06e-18
0.126	298000.0	3.03e-18
0.1259	355000.0	1.51e-18
0.1259	422000.0	7.54e-19
0.1258	501000.0	3.76e-19
