 ******* Program HYDRUS
 ******* 
 Esperance                                                               
 Date:  27. 4.    Time:  11:56:12
 Units: L = cm   , T = sec  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0000  0.00000E+00  0.00000E+00 -0.66838E-05  0.00000E+00 -0.66838E-05  0.00000E+00  0.00000E+00 -0.66838E-10  0.00000E+00 -0.66838E-10 -0.10096E+00  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      1  0.00000E+00      0.000
       0.0000  0.00000E+00  0.00000E+00 -0.66836E-05  0.00000E+00 -0.66836E-05  0.00000E+00  0.00000E+00 -0.13367E-09  0.00000E+00 -0.13367E-09 -0.10287E+00  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      2  0.00000E+00      0.000
       0.0000  0.00000E+00  0.00000E+00 -0.66830E-05  0.00000E+00 -0.66830E-05  0.00000E+00  0.00000E+00 -0.22055E-09  0.00000E+00 -0.22055E-09 -0.10654E+00  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      3  0.00000E+00      0.000
       0.0000  0.00000E+00  0.00000E+00 -0.66840E-05  0.00000E+00 -0.66840E-05  0.00000E+00  0.00000E+00 -0.33351E-09  0.00000E+00 -0.33351E-09 -0.10010E+00  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      4  0.00000E+00      0.000
       0.0001  0.00000E+00  0.00000E+00 -0.66827E-05  0.00000E+00 -0.66827E-05  0.00000E+00  0.00000E+00 -0.48033E-09  0.00000E+00 -0.48033E-09 -0.10881E+00  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      5  0.00000E+00      0.000
       0.0001  0.00000E+00  0.00000E+00 -0.66842E-05  0.00000E+00 -0.66842E-05  0.00000E+00  0.00000E+00 -0.67124E-09  0.00000E+00 -0.67124E-09 -0.98665E-01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      6  0.00000E+00      0.000
       0.0001  0.00000E+00  0.00000E+00 -0.66832E-05  0.00000E+00 -0.66832E-05  0.00000E+00  0.00000E+00 -0.91938E-09  0.00000E+00 -0.91938E-09 -0.10509E+00  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      7  0.00000E+00      0.000
       0.0002  0.00000E+00  0.00000E+00 -0.66832E-05  0.00000E+00 -0.66832E-05  0.00000E+00  0.00000E+00 -0.12420E-08  0.00000E+00 -0.12420E-08 -0.10521E+00  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      8  0.00000E+00      0.000
