 ******* Program HYDRUS
 ******* 
 Esperance                                                               
 Date:  27. 4.    Time:  12:52:34
 Units: L = cm   , T = sec  , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000      -0.100 0.3748   0.7931E-04  0.7734E-05  0.1899E-10  0.0000E+00      -1   0.237E-06   20.00
   2    -0.1300       0.030 0.3748   0.8000E-04  0.0000E+00  0.1468E-12  0.0000E+00      -1   0.183E-08   20.00
   3    -0.2574       0.157 0.3748   0.8000E-04  0.0000E+00 -0.4912E-11  0.0000E+00      -1  -0.614E-07   20.00
   4    -0.3824       0.282 0.3748   0.8000E-04  0.0000E+00 -0.4621E-11  0.0000E+00      -1  -0.578E-07   20.00
   5    -0.5047       0.405 0.3748   0.8000E-04  0.0000E+00 -0.4974E-10  0.0000E+00      -1  -0.622E-06   20.00
   6    -0.6246       0.525 0.3748   0.8000E-04  0.0000E+00  0.1490E-11  0.0000E+00      -1   0.186E-07   20.00
   7    -0.7418       0.642 0.3748   0.8000E-04  0.0000E+00  0.4339E-10  0.0000E+00      -1   0.542E-06   20.00
   8    -0.8566       0.757 0.3748   0.8000E-04  0.0000E+00 -0.2122E-10  0.0000E+00      -1  -0.265E-06   20.00
   9    -0.9688       0.869 0.3748   0.8000E-04  0.0000E+00 -0.4292E-10  0.0000E+00      -1  -0.536E-06   20.00
  10    -1.0785       0.978 0.3748   0.8000E-04  0.0000E+00  0.2070E-10  0.0000E+00      -1   0.259E-06   20.00
  11    -1.1856       1.086 0.3748   0.8000E-04  0.0000E+00  0.4343E-10  0.0000E+00      -1   0.543E-06   20.00
  12    -1.2902       1.190 0.3748   0.8000E-04  0.0000E+00  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  13    -1.3922       1.292 0.3748   0.8000E-04  0.0000E+00  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  14    -1.4917       1.392 0.3748   0.8000E-04  0.0000E+00  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  15    -1.5887       1.489 0.3748   0.8000E-04  0.0000E+00  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
