 ******* Program HYDRUS
 ******* 
 Esperance                                                               
 Date:  27. 4.    Time:  12:52:34
 Units: L = cm   , T = sec  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
    2      0.13     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
    3      0.26     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
    4      0.38     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
    5      0.50     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
    6      0.62     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
    7      0.74     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
    8      0.86     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
    9      0.97     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   10      1.08     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   11      1.19     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   12      1.29     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   13      1.39     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   14      1.49     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   15      1.59     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   16      1.68     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   17      1.77     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   18      1.86     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   19      1.95     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   20      2.04     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   21      2.12     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   22      2.20     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   23      2.27     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   24      2.35     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   25      2.42     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   26      2.49     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   27      2.55     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   28      2.62     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   29      2.68     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   30      2.74     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   31      2.79     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   32      2.85     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   33      2.90     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   34      2.95     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   35      2.99     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   36      3.04     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   37      3.08     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   38      3.12     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   39      3.15     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   40      3.19     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   41      3.22     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   42      3.25     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   43      3.27     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   44      3.30     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   45      3.32     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   46      3.33     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   47      3.35     0.081     0.375       0.0   0.800E-04     1.000     0.000     1.000     1.000     1.000
   48      3.36     0.070     0.340     -48.7   0.580E-07     0.001     0.000     1.000     1.000     1.000
   49      3.49     0.070     0.340     -48.7   0.580E-07     0.001     0.000     1.000     1.000     1.000
   50      3.62     0.070     0.340     -48.7   0.580E-07     0.001     0.000     1.000     1.000     1.000
   51      3.75     0.070     0.340     -48.7   0.580E-07     0.001     0.000     1.000     1.000     1.000
end
