 ******* Program HYDRUS
 ******* 
 Esperance                                                               
 Date:  27. 4.    Time:  12:52:34
 Units: L = cm   , T = sec  , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-04  0.10000E-04    2        2    -4     3     T
        2  0.2000000E-04  0.10000E-04    2        4    -4     3     T
        3  0.3300000E-04  0.13000E-04    2        6    -4     3     T
        4  0.4990000E-04  0.16900E-04    2        8    -4     3     T
        5  0.7186999E-04  0.21970E-04    2       10    -4     3     T
        6  0.1004310E-03  0.28561E-04    2       12    -4     3     T
        7  0.1375603E-03  0.37129E-04    2       14    -4     3     T
        8  0.1858283E-03  0.48268E-04    2       16    -4     3     T
        9  0.2485768E-03  0.62748E-04    2       18    -4     3     T
       10  0.3301499E-03  0.81573E-04    2       20    -4     3     T
       11  0.4361948E-03  0.10604E-03    2       22    -4     3     T
       12  0.5740532E-03  0.13786E-03    2       24    -4     3     T
       13  0.7532692E-03  0.17922E-03    2       26    -4     3     T
       14  0.9862499E-03  0.23298E-03    2       28    -4     3     T
       15  0.1289125E-02  0.30287E-03    2       30    -4     3     T
       16  0.1682862E-02  0.39374E-03    2       32    -4     3     T
       17  0.2194721E-02  0.51186E-03    2       34    -4     3     T
       18  0.2860137E-02  0.66542E-03    2       36    -4     3     T
       19  0.3725178E-02  0.86504E-03    2       38    -4     3     T
       20  0.4849731E-02  0.11246E-02    2       40    -4     3     T
       21  0.6311650E-02  0.14619E-02    2       42    -4     3     T
       22  0.8212144E-02  0.19005E-02    2       44    -4     3     T
       23  0.1068279E-01  0.24706E-02    2       46    -4     3     T
       24  0.1389462E-01  0.32118E-02    2       48    -4     3     T
       25  0.1807001E-01  0.41754E-02    2       50    -4     3     T
       26  0.2349801E-01  0.54280E-02    2       52    -4     3     T
       27  0.3055441E-01  0.70564E-02    2       54    -4     3     T
       28  0.3972773E-01  0.91733E-02    2       56    -4     3     T
       29  0.5165305E-01  0.11925E-01    2       58    -4     3     T
       30  0.6715596E-01  0.15503E-01    2       60    -4     3     T
       31  0.8730975E-01  0.20154E-01    2       62    -4     3     T
       32  0.1135097E+00  0.26200E-01    2       64    -4     3     T
       33  0.1475696E+00  0.34060E-01    2       66    -4     3     T
       34  0.1918474E+00  0.44278E-01    2       68    -4     3     T
       35  0.2494086E+00  0.57561E-01    2       70    -4     3     T
       36  0.3242382E+00  0.74830E-01    2       72    -4     3     T
       37  0.4215167E+00  0.97278E-01    2       74    -4     3     T
       38  0.5479786E+00  0.12646E+00    2       76    -4     3     T
       39  0.7123792E+00  0.16440E+00    2       78    -4     3     T
       40  0.9260999E+00  0.21372E+00    2       80    -4     3     T
       41  0.1203937E+01  0.27784E+00    2       82    -4     3     T
       42  0.1565125E+01  0.36119E+00    2       84    -4     3     T
       43  0.2034669E+01  0.46954E+00    2       86    -4     3     T
       44  0.2645077E+01  0.61041E+00    2       88    -4     3     T
       45  0.3438607E+01  0.79353E+00    2       90    -4     3     T
       46  0.4470196E+01  0.10316E+01    2       92    -4     3     T
       47  0.5811261E+01  0.13411E+01    2       94    -4     3     T
       48  0.7554646E+01  0.17434E+01    2       96    -4     3     T
       49  0.9821047E+01  0.22664E+01    2       98    -4     3     T
       50  0.1276737E+02  0.29463E+01    2      100    -4     3     T
       51  0.1659758E+02  0.38302E+01    2      102    -4     3     T
       52  0.2157687E+02  0.49793E+01    2      104    -4     3     T
       53  0.2804993E+02  0.64731E+01    2      106    -4     3     T
       54  0.3646492E+02  0.84150E+01    2      108    -4     3     T
       55  0.4685770E+02  0.10393E+02    2      110    -4     3     T
       56  0.6071475E+02  0.13857E+02    2      112    -4     3     T
       57  0.7803606E+02  0.17321E+02    2      114    -4     3     T
       58  0.1040180E+03  0.25982E+02    2      116    -4     3     T
       59  0.1300000E+03  0.25982E+02    2      118    -4     3     T
       60  0.1625000E+03  0.32500E+02    2      120    -4     3     T
       61  0.2112500E+03  0.48750E+02    2      122    -4     3     T
       62  0.2600000E+03  0.48750E+02    2      124    -4     3     T
       63  0.3250000E+03  0.65000E+02    2      126    -4     3     T
       64  0.3900000E+03  0.65000E+02    2      128    -4     3     T
       65  0.4555000E+03  0.65500E+02    2      130    -4     3     T
       66  0.5210000E+03  0.65500E+02    2      132    -4     3     T
       67  0.6510000E+03  0.13000E+03    2      134    -4     3     T
       68  0.7810000E+03  0.13000E+03    2      136    -4     3     T
       69  0.9110000E+03  0.13000E+03    2      138    -4     3     T
       70  0.1041000E+04  0.13000E+03    2      140    -4     3     T
       71  0.1172000E+04  0.13100E+03    2      142    -4     3     T
       72  0.1302000E+04  0.13000E+03    2      144    -4     3     T
       73  0.1432000E+04  0.13000E+03    2      146    -4     3     T
       74  0.1562000E+04  0.13000E+03    2      148    -4     3     T
       75  0.1692000E+04  0.13000E+03    2      150    -4     3     T
       76  0.1823000E+04  0.13100E+03    2      152    -4     3     T
       77  0.1953000E+04  0.13000E+03    2      154    -4     3     T
       78  0.2083000E+04  0.13000E+03    2      156    -4     3     T
       79  0.2213000E+04  0.13000E+03    2      158    -4     3     T
       80  0.2343000E+04  0.13000E+03    2      160    -4     3     T
       81  0.2473000E+04  0.13000E+03    2      162    -4     3     T
       82  0.2604000E+04  0.13100E+03    2      164    -4     3     T
       83  0.2734000E+04  0.13000E+03    2      166    -4     3     T
       84  0.2864000E+04  0.13000E+03    2      168    -4     3     T
       85  0.2994000E+04  0.13000E+03    2      170    -4     3     T
       86  0.3124000E+04  0.13000E+03    2      172    -4     3     T
       87  0.3255000E+04  0.13100E+03    2      174    -4     3     T
       88  0.3385000E+04  0.13000E+03    2      176    -4     3     T
       89  0.3515000E+04  0.13000E+03    2      178    -4     3     T
       90  0.3645000E+04  0.13000E+03    2      180    -4     3     T
       91  0.3776000E+04  0.13100E+03    2      182    -4     3     T
       92  0.3906000E+04  0.13000E+03    2      184    -4     3     T
       93  0.4036000E+04  0.13000E+03    2      186    -4     3     T
       94  0.4166000E+04  0.13000E+03    2      188    -4     3     T
       95  0.4296000E+04  0.13000E+03    2      190    -4     3     T
       96  0.4426000E+04  0.13000E+03    2      192    -4     3     T
       97  0.4557000E+04  0.13100E+03    2      194    -4     3     T
       98  0.4687000E+04  0.13000E+03    2      196    -4     3     T
       99  0.4817000E+04  0.13000E+03    2      198    -4     3     T
      100  0.4947000E+04  0.13000E+03    2      200    -4     3     T
      101  0.5077000E+04  0.13000E+03    2      202    -4     3     T
      102  0.5208000E+04  0.13100E+03    2      204    -4     3     T
      103  0.5338000E+04  0.13000E+03    2      206    -4     3     T
      104  0.5468000E+04  0.13000E+03    2      208    -4     3     T
      105  0.5598000E+04  0.13000E+03    2      210    -4     3     T
      106  0.5738000E+04  0.14000E+03    2      212    -4     3     T
      107  0.5908000E+04  0.17000E+03    2      214    -4     3     T
      108  0.6119000E+04  0.21100E+03    2      216    -4     3     T
      109  0.6289000E+04  0.17000E+03    2      218    -4     3     T
      110  0.6519000E+04  0.23000E+03    2      220    -4     3     T
      111  0.6729000E+04  0.21000E+03    2      222    -4     3     T
      112  0.6940000E+04  0.21100E+03    2      224    -4     3     T
      113  0.7210000E+04  0.27000E+03    2      226    -4     3     T
      114  0.7441000E+04  0.23100E+03    2      228    -4     3     T
      115  0.7701000E+04  0.26000E+03    2      230    -4     3     T
