 ******* Program HYDRUS
 ******* 
 Esperance                                                               
 Date:  27. 4.    Time:  12:52:34
 Units: L = cm   , T = sec  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0000  0.00000E+00  0.00000E+00 -0.66792E-05  0.00000E+00 -0.66792E-05  0.00000E+00  0.00000E+00 -0.66792E-10  0.00000E+00 -0.66792E-10 -0.10027E+00  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      1  0.00000E+00      0.000
       0.0000  0.00000E+00  0.00000E+00 -0.66792E-05  0.00000E+00 -0.66792E-05  0.00000E+00  0.00000E+00 -0.13358E-09  0.00000E+00 -0.13358E-09 -0.10080E+00  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      2  0.00000E+00      0.000
       0.0000  0.00000E+00  0.00000E+00 -0.66790E-05  0.00000E+00 -0.66790E-05  0.00000E+00  0.00000E+00 -0.22041E-09  0.00000E+00 -0.22041E-09 -0.10183E+00  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      3  0.00000E+00      0.000
       0.0000  0.00000E+00  0.00000E+00 -0.66793E-05  0.00000E+00 -0.66793E-05  0.00000E+00  0.00000E+00 -0.33329E-09  0.00000E+00 -0.33329E-09 -0.99848E-01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      4  0.00000E+00      0.000
       0.0001  0.00000E+00  0.00000E+00 -0.66790E-05  0.00000E+00 -0.66790E-05  0.00000E+00  0.00000E+00 -0.48003E-09  0.00000E+00 -0.48003E-09 -0.10180E+00  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      5  0.00000E+00      0.000
       0.0001  0.00000E+00  0.00000E+00 -0.66791E-05  0.00000E+00 -0.66791E-05  0.00000E+00  0.00000E+00 -0.67079E-09  0.00000E+00 -0.67079E-09 -0.10135E+00  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      6  0.00000E+00      0.000
       0.0001  0.00000E+00  0.00000E+00 -0.66790E-05  0.00000E+00 -0.66790E-05  0.00000E+00  0.00000E+00 -0.91878E-09  0.00000E+00 -0.91878E-09 -0.10174E+00  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      7  0.00000E+00      0.000
       0.0002  0.00000E+00  0.00000E+00 -0.66793E-05  0.00000E+00 -0.66793E-05  0.00000E+00  0.00000E+00 -0.12412E-08  0.00000E+00 -0.12412E-08 -0.99737E-01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.00000E+00      8  0.00000E+00      0.000
