Fatty_acid,Acyl_mass
6_0,115.07596
7_1-O,143.07086
8_0,143.10726
7_1-2O,159.06576
9_1-O,171.10216
10_0,171.13856
9_1-2O,187.09706
12_0,199.16986
12_3-O,209.11776
13_0,213.18546
12_2-2O,227.12836
14_0,227.20116
15_2,237.18546
15_1,239.20116
15_0,241.21676
16_3,249.18546
16_2,251.20116
16_1,253.21676
16_0,255.23246
16_5-O,261.14906
16_4-O,263.16476
17_3,263.20116
16_3-O,265.18036
16_2-O,267.19606
17_1,267.23246
16_1-O,269.21166
17_0,269.24806
16_0-O,271.22736
18_4,275.20106
16_5-2O,277.14396
18_3,277.21676
16_4-2O,279.15966
18_2,279.23246
16_3-2O,281.17526
18_1,281.24806
16_2-2O,283.19096
18_0,283.26376
16_1-2O,285.20656
16_0-2O,287.22226
18_5-O,289.18036
18_4-O,291.19606
19_3,291.23246
16_5-3O,293.13886
18_3-O,293.21166
19_2,293.24806
16_4-3O,295.15456
17_3-2O,295.19096
18_2-O,295.22736
19_1,295.26376
16_3-3O,297.17016
18_1-O,297.24296
16_2-3O,299.18586
18_0-O,299.25866
16_1-3O,301.20146
20_5,301.21676
16_0-3O,303.21716
20_4,303.23236
18_5-2O,305.17526
20_3,305.24806
18_4-2O,307.19096
20_2,307.26376
16_5-4O,309.13386
18_3-2O,309.20656
20_1,309.27936
16_4-4O,311.14946
18_2-2O,311.22226
20_0,311.29506
16_3-4O,313.16516
18_1-2O,313.23786
16_2-4O,315.18076
18_0-2O,315.25356
16_1-4O,317.19646
16_0-4O,319.21206
18_5-3O,321.17016
18_4-3O,323.18586
19_3-2O,323.22226
21_1,323.29506
18_3-3O,325.20146
21_0,325.31066
18_2-3O,327.21716
18_1-3O,329.23276
18_0-3O,331.24846
22_3,333.27936
22_2,335.29506
18_5-4O,337.16516
22_1,337.31066
18_4-4O,339.18076
22_0,339.32636
18_3-4O,341.19646
18_2-4O,343.21206
18_1-4O,345.22776
18_0-4O,347.24336
23_1,351.32636
23_0,353.34196
24_1,365.34196
24_0,367.35766
25_1,379.35766
25_0,381.37326
26_1,393.37326
26_0,395.38896
