StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       14,      05,   194901,   2.64,   20.7,   2.55,   2.55,   4.02,   2.55,      0,   1373,   2.77,   1.59,   1.67,   -.36,    .77,    .82,    .16,     12,   29.4,
       14,      04,   194901,    .72,   19.4,   1.42,   1.42,    .78,    .79,      0,   1414,   1.06,     .3,    .84,    -.1,     .3,     .2,   -.19,      8,   30.8,
       14,      01,   194901,    .84,   16.2,   1.67,   1.67,   1.12,   1.48,      0,   1513,   1.32,    .84,   1.29,   -.16,    .42,    .12,   -.12,    5.8,   26.6,
       14,      03,   194901,   3.82,   20.8,   1.54,   1.54,   4.63,   1.54,      0,   1370,   2.98,   2.13,   1.35,    .02,     .2,    .38,    .23,   11.9,   29.8,
       14,      09,   194901,   5.41,   26.3,   2.68,   2.68,   5.73,   2.68,      0,   1200,   2.64,   1.99,   1.53,   -.13,   1.07,    .94,    .57,   17.5,     35,
       14,      02,   194901,   2.13,   17.4,   1.24,   1.24,   2.95,   1.24,      0,   1476,   2.61,   1.53,   1.57,   -.48,    .15,    .16,   -.35,    8.1,   26.8,
       14,      06,   194901,   4.69,   23.6,   1.72,   1.72,   5.16,   1.72,      0,   1283,   2.73,   2.08,   1.27,   -.38,    .63,     .6,    .54,   15.1,     32,
       14,      07,   194901,   1.08,   22.4,   2.63,   2.63,   1.61,    2.4,      0,   1321,   1.51,    .49,   1.02,    .58,    .65,    .71,    .48,     11,   33.9,
       14,      08,   194901,   3.37,   22.7,   3.73,   3.73,   5.06,   3.73,      0,   1311,   2.86,   1.74,   1.79,     .8,   1.43,   1.43,   1.06,   13.6,   31.8,
       14,      07,   194902,    .78,   33.3,   2.63,   2.63,    .81,   2.63,      0,    888,    .59,   1.19,    .56,   -.29,    .86,    .48,    .59,   21.7,     45,
       14,      05,   194902,    .87,   29.8,   2.63,   2.63,   1.02,   2.63,      0,    986,    .14,    1.9,   1.21,    .15,   1.15,    .58,    .22,   20.9,   38.8,
       14,      09,   194902,   1.98,   35.1,   2.86,   2.86,   1.36,   2.86,      0,    837,     .7,   2.45,   1.94,     .1,   1.58,   1.05,     .7,   25.3,   44.9,
       14,      06,   194902,   1.48,   31.4,    1.9,    1.9,   1.07,    1.9,      0,    941,    .47,   2.48,   1.95,    .16,    .93,    .64,    .63,   22.4,   40.4,
       14,      08,   194902,   1.41,   32.9,   3.88,   3.88,    1.6,   3.88,      0,    899,    .68,   2.27,   1.55,    .31,   2.38,   1.17,   1.21,   23.8,     42,
       14,      02,   194902,    .77,     26,   1.24,   1.24,    .38,   1.24,      0,   1092,    .09,   1.76,   1.24,    .23,    .39,   -.04,   -.29,   15.9,   36.2,
       14,      03,   194902,   1.08,   27.5,   1.67,   1.67,    .87,   1.67,      0,   1050,    .19,   2.29,   1.75,    .21,    .53,    .26,     .3,   17.7,   37.3,
       14,      04,   194902,    .57,   30.2,   1.43,   1.43,    .47,    .91,      0,    974,     .3,    .75,    .29,    -.6,    .63,    .13,   -.14,     18,   42.4,
       14,      01,   194902,    .53,     29,    1.6,    1.6,    .33,    1.5,      0,   1008,     .2,    .89,    .67,   -.21,     .4,    .13,   -.07,   16.4,   41.4,
       14,      07,   194903,   1.49,   42.5,   2.68,   2.68,    .96,   2.68,      0,    698,     .7,    .69,   1.05,    .42,    .71,    .41,     .6,   29.8,   55.2,
       14,      06,   194903,    2.5,   42.1,   1.83,   1.83,    .39,   1.83,      0,    710,    .32,    .38,   1.98,     .7,    .87,    .46,    .49,   32.1,     52,
       14,      01,   194903,   2.63,   38.3,   2.29,   2.29,   2.56,   2.29,      0,    828,   1.48,   1.33,    1.5,    .96,    .25,    .36,    .16,   26.8,   49.7,
       14,      09,   194903,    2.2,   44.3,   2.52,   2.52,   -.13,   2.41,      0,    642,   -.07,    .24,    1.8,    .77,   1.01,     .9,    .61,     34,   54.6,
       14,      05,   194903,    1.5,   41.5,   2.42,   2.42,     .2,   2.42,      0,    729,    .17,    .11,   1.12,    .68,    .61,    .47,    .11,   31.4,   51.6,
       14,      08,   194903,   1.71,   43.5,    3.6,    3.6,    .36,    3.6,      0,    667,    .28,    .45,   1.47,    .83,   1.32,   1.11,   1.13,   32.9,     54,
       14,      02,   194903,   1.71,   38.4,   1.23,   1.23,    .35,   1.23,      0,    825,    .43,    .31,   1.16,    .78,    .23,    -.1,   -.28,   28.3,   48.5,
       14,      04,   194903,   1.71,     40,   1.65,   1.65,    1.1,   1.42,      0,    775,    .86,    .77,    .93,     .4,    .31,    .05,   -.11,   27.9,     52,
       14,      03,   194903,   2.09,   39.7,   1.65,   1.65,    .46,   1.65,      0,    784,     .2,    .14,   1.63,    .75,    .29,    .07,    .12,   29.5,     50,
       14,      05,   194904,   2.07,   53.7,   2.14,   2.14,   -.11,   2.02,      8,    347,   -.18,   -.12,   -.14,    .89,   -.35,    .62,   -.05,   41.9,   65.6,
       14,      07,   194904,   1.74,   53.1,   2.66,   2.66,    .78,   2.66,      6,    363,    .27,    .47,    .51,    .83,    .64,    .71,    .38,   39.6,   66.6,
       14,      02,   194904,    2.1,   52.3,   1.13,   1.13,    .06,   1.07,      5,    386,   -.18,    .04,    .01,    .93,   -.36,     .1,   -.48,   39.2,   65.3,
       14,      03,   194904,   2.19,   52.4,   1.33,   1.33,   -.46,   1.03,      5,    383,   -.52,   -.32,   -.34,    .68,   -.14,    .04,    -.2,   39.6,   65.1,
       14,      01,   194904,   1.78,   50.2,   2.21,   2.21,    .46,   2.21,      0,    444,   -.03,    .88,    .83,    1.2,     .3,    .65,    .15,   36.7,   63.8,
       14,      04,   194904,   1.79,   51.4,   1.67,   1.67,    .59,   1.63,      0,    412,    .18,    .55,    .53,    .74,    .16,    .42,   -.03,   38.1,   64.6,
       14,      08,   194904,   2.23,   55.4,   3.25,   3.25,    .05,   3.21,     12,    300,    .01,    .08,    .21,   1.19,    .67,    1.3,    .68,   43.7,     67,
       14,      09,   194904,   2.86,   55.9,   2.16,   2.16,    -.3,   1.86,     11,    284,   -.26,   -.28,   -.07,    .93,   -.18,    .92,    .15,   44.3,   67.5,
       14,      06,   194904,   2.17,   53.3,   1.37,   1.37,   -.84,    .89,      6,    357,   -.66,   -.32,    -.2,    .75,   -.44,     .5,    .05,   41.9,   64.7,
       14,      02,   194905,   5.02,   64.3,   1.51,   1.51,   1.51,   1.51,     97,    119,     .7,    .43,    .46,    .85,    .42,    .51,   -.23,   53.4,   75.1,
       14,      01,   194905,   5.27,   61.9,    3.1,    3.1,   3.36,    3.1,     59,    155,   1.28,      1,   1.46,   1.51,    .98,   1.17,    .52,   50.4,   73.4,
       14,      03,   194905,   5.12,   66.2,   1.37,   1.37,    .53,   1.25,    125,     88,     .4,   -.07,   -.02,    .75,    .11,     .4,   -.13,   55.6,   76.7,
       14,      06,   194905,   5.28,   67.1,   1.31,   1.31,    .25,     .9,    136,     71,    .38,   -.18,   -.05,     .8,    .08,    .74,    .15,     57,   77.2,
       14,      04,   194905,    4.6,   62.4,   2.36,   2.36,   2.58,   2.36,     60,    141,   1.14,    .95,   1.12,   1.04,    .45,   1.07,   -.05,   50.5,   74.2,
       14,      05,   194905,   5.24,   65.1,   2.57,   2.57,   1.95,   2.57,    103,    100,     .8,    .48,    .39,     .8,    .31,    1.1,    .05,     55,   75.2,
       14,      09,   194905,   5.58,   68.6,   2.02,   2.02,    .25,   1.77,    155,     43,    .41,    .01,    -.1,    .77,   -.01,   1.22,    .13,   58.4,   78.8,
       14,      08,   194905,   6.82,   66.2,      4,      4,   3.27,      4,    115,     78,   1.28,   1.09,    .91,   1.37,    .81,   2.28,    .91,   55.9,   76.4,
       14,      07,   194905,   4.56,   64.3,   3.18,   3.18,   2.37,   3.18,     84,    106,   1.07,    .95,    .98,   1.02,    .53,    1.2,    .34,   52.3,   76.3,
       14,      06,   194906,   5.01,   75.1,    1.1,    1.1,   -.22,    .53,    310,      7,    .01,    .22,   -.15,    .75,    .26,    .55,   -.02,   65.1,   85.1,
       14,      09,   194906,   4.93,   76.7,   1.78,   1.78,   -.11,   1.42,    354,      0,    .05,     .2,   -.03,    .76,    .38,    .68,    .06,   66.7,   86.7,
       14,      08,   194906,   5.14,   76.4,   4.14,   4.14,   1.65,   4.14,    348,      6,    .66,   1.23,   1.14,   1.61,   1.23,   1.63,   1.12,   65.2,   87.6,
       14,      03,   194906,   8.44,   74.5,   2.15,   2.15,   2.76,   2.15,    294,      9,   1.47,   1.18,    .85,   1.41,    .99,    .64,   -.04,   64.3,   84.7,
       14,      05,   194906,   5.25,   75.2,   2.84,   2.84,    1.6,   2.84,    317,     11,    .68,    .87,    .69,   1.08,    .81,    .81,    .06,   64.3,     86,
       14,      07,   194906,   5.97,   73.4,   4.57,   4.57,   5.17,   4.57,    268,     16,   1.85,   1.83,   1.82,   1.96,   1.56,   1.59,   1.04,   60.7,     86,
       14,      01,   194906,    5.6,   70.5,   4.17,   4.17,   4.16,   4.17,    199,     34,   1.43,   1.68,   1.61,   2.07,   1.82,   1.33,    .53,   58.3,   82.6,
       14,      04,   194906,    7.4,   71.6,   4.27,   4.27,   6.44,   4.27,    224,     26,   2.04,   2.11,   2.19,   2.27,   1.95,   1.75,    .84,     59,   84.1,
       14,      02,   194906,   6.95,   73.4,   2.55,   2.55,   3.58,   2.55,    270,     18,   1.42,   1.38,   1.21,   1.51,   1.27,    .79,   -.21,   62.4,   84.5,
       14,      07,   194907,   4.39,   78.7,   5.74,   5.74,   4.92,   5.74,    425,      0,   1.12,   1.83,   2.01,    2.2,   2.26,   1.95,   1.46,   65.5,   91.9,
       14,      04,   194907,    2.4,   77.8,   4.72,   4.72,   2.69,   4.72,    397,      0,   -.26,   1.54,   1.72,   1.76,   1.81,   1.45,    .96,   64.4,   91.3,
       14,      05,   194907,   2.41,   80.2,   2.66,   2.66,    .33,   2.66,    471,      0,   -.36,    .18,    .45,    .26,    .79,    .01,    .24,   68.3,   92.2,
       14,      09,   194907,   5.63,     80,   2.24,   2.24,   1.93,   2.24,    465,      0,    .88,    .52,     .5,    .29,    .88,    .07,    .31,   70.1,     90,
       14,      03,   194907,   3.24,     78,   1.98,   1.98,    .16,   1.98,    407,      0,   -.07,    .87,    .81,    .54,    .91,    .39,    .16,   67.8,   88.3,
       14,      08,   194907,   4.58,     81,   4.73,   4.73,   3.05,   4.73,    496,      0,    .88,    .92,   1.41,   1.29,    1.8,   1.46,   1.36,   68.9,     93,
       14,      01,   194907,   2.59,   76.5,   4.39,   4.39,   1.95,   4.39,    360,      0,    -.2,    .94,   1.32,   1.54,   1.77,   1.25,    .55,     63,   90.1,
       14,      02,   194907,   2.48,   78.8,   2.45,   2.45,    .49,   2.45,    428,      0,   -.38,    .75,    .85,    .72,   1.12,    .37,   -.02,   66.1,   91.4,
       14,      06,   194907,   6.15,   78.4,   1.74,   1.74,   2.24,   1.74,    415,      0,    .95,    .64,    .61,    .38,    .78,    .05,    .44,   68.6,   88.2,
       14,      09,   194908,   1.69,   75.9,   1.82,   1.82,   -.58,   1.49,    347,      9,     -1,    .04,   -.02,   -.15,    .42,    -.1,    .33,   63.1,   88.6,
       14,      08,   194908,   1.93,   76.5,   4.32,   4.32,    .24,   4.32,    363,      6,   -.63,    .13,    .42,    .88,   1.27,    .86,    1.3,   63.5,   89.4,
       14,      06,   194908,   2.98,   74.8,   1.68,   1.68,    .37,   1.68,    316,     12,   -.38,    .44,    .32,    .12,    .63,    .15,    .51,   62.3,   87.2,
       14,      07,   194908,   3.02,   75.5,   6.23,   6.23,   3.22,   6.23,    330,      0,    .54,   1.08,   1.71,   2.11,   2.09,   1.72,   1.64,   61.7,   89.2,
       14,      05,   194908,   1.38,   76.5,   -.47,   1.91,  -1.41,   1.25,    364,      7,  -1.29,  -1.19,   -.41,   -.14,    .22,   -.09,    .21,   63.6,   89.4,
