Year,Sor_Yield,Corn_Yield,PCP1,PDSI1,PCP2,PDSI2,PCP3,PDSI3,PCP4,PDSI4,PCP5,PDSI5,PCP6,PDSI6,PCP7,PDSI7,PCP8,PDSI8,PCP9,PDSI9,PCP10,PDSI10,PCP11,PDSI11,PCP12,PDSI12,PCP,DCount,WCount
2015,76.8,77.6,0.19,-1.86,0.44,-1.77,0.13,-2.62,2.8,0.09,5.52,1.13,2.33,-0.51,3.8,-0.15,1.62,-0.63,1.13,-1.2,1.72,0.19,2.28,1.13,0.53,1.06,22.49,3,0
2014,71.3,71.1,0.35,-2.73,0.49,-2.52,0.25,-3.04,1.38,-3.19,1.91,-3.86,6.19,-2.71,1.76,-3.09,4.22,-2.16,1.82,-2.06,0.59,-2.35,0.03,-2.59,1.18,-1.78,20.17,4,0
2013,30.2,34.2,0.24,-3.97,0.93,-3.27,0.98,-3.2,0.74,-3.24,2.26,-3.64,1.68,-4.38,2.81,-4.29,1.72,-4.59,3.91,-3.2,1.19,-2.84,0.48,-2.78,0.11,-2.85,17.05,4,0
2012,37.1,26.1,0.05,-0.33,0.69,-0.13,0.87,-0.92,2.91,-0.7,0.57,-2.29,1.09,-3.57,2.49,-4.1,1.33,-4.61,0.73,-4.88,0.7,-4.62,0.01,-4.87,0.81,-4.15,12.25,4,0
2007,77.0,78.0,0.69,2.49,0.35,2.21,1.78,1.91,3.08,2.55,1.98,-0.6,2.25,-0.89,2.63,-0.88,3.22,-0.48,1.62,-0.54,0.51,-0.93,0.17,-1.34,1.22,-0.58,19.500000000000004,3,0
2006,49.0,38.0,0.31,-0.57,0.04,-0.91,1.21,-1.07,0.78,-1.86,2.07,-2.76,3.74,-2.84,1.5,-3.77,3.33,0.15,2.02,0.34,2.67,1.25,0.12,0.73,2.66,2.48,20.450000000000003,2,2
2003,33.0,32.0,0.13,-3.71,0.57,-3.33,1.37,-3.2,2.72,-2.63,2.26,-2.94,4.43,-2.31,0.9,-3.47,1.73,-3.91,0.57,-4.25,0.26,-4.56,0.23,-4.48,0.27,-4.29,15.440000000000001,4,0
2002,27.0,30.0,0.34,-0.7,0.18,-0.94,0.35,-1.34,0.69,-2.03,1.39,-2.95,1.51,-4.11,0.62,-5.4,2.52,-5.23,1.15,-5.25,2.56,-3.72,0.2,-3.66,0.01,-3.77,11.52,4,0
2001,70.0,62.0,0.97,1.37,0.84,1.57,0.71,1.15,1.84,0.91,4.86,1.55,0.75,-0.91,4.81,-0.11,1.3,-0.76,2.77,-0.09,0.61,-0.39,0.93,-0.44,0.25,-0.64,20.64,2,0
2000,49.0,47.0,0.17,-1.53,0.96,0.12,2.82,0.74,1.26,-0.32,0.77,-1.73,2.38,-2.11,2.94,-2.14,1.13,-3.06,1.12,-3.27,3.36,1.23,0.98,1.46,0.07,1.02,17.96,4,0
1998,92.0,109.0,0.1,-0.23,0.9,0.24,0.9,0.16,1.79,0.28,2.47,-0.5,1.24,-1.24,6.47,1.62,1.99,-0.13,0.77,-0.82,1.43,0.14,2.34,1.04,0.11,-0.25,20.51,2,1
1997,70.0,72.0,0.07,-0.59,1.09,-0.01,0.03,-0.81,0.89,-1.05,1.67,-1.68,3.18,-1.72,2.38,-1.93,4.04,0.85,1.78,0.7,3.31,1.95,0.61,1.81,0.79,1.95,19.839999999999996,2,2
1991,59.0,54.3,0.24,-0.79,0.11,-1.26,0.89,-1.62,2.02,-1.55,4.04,-1.34,3.48,-1.45,3.45,-1.35,2.53,-1.35,1.21,-1.63,0.82,-1.66,1.79,0.82,1.08,1.23,21.660000000000004,4,0
1990,51.0,48.5,0.93,0.32,0.3,0.09,2.19,0.32,1.19,-0.42,6.0,1.36,1.03,-0.96,3.29,-0.65,3.14,-0.18,1.26,-0.53,0.82,-0.67,0.99,-0.59,0.33,-0.66,21.47,3,0
1989,36.0,42.0,0.27,-1.59,0.23,-1.69,0.48,-2.13,0.52,-2.94,3.21,-3.06,4.9,-2.27,2.03,-2.67,2.61,-2.51,2.01,-2.13,0.45,-2.41,0.01,-2.78,0.31,-2.69,17.029999999999998,4,0
1988,62.0,63.0,1.09,0.89,0.27,0.7,0.38,0.12,2.1,0.28,4.47,0.73,1.0,-1.09,3.76,-0.66,2.13,-0.87,1.92,-0.69,0.11,-1.2,0.46,-1.36,0.21,-1.53,17.9,4,0
1986,57.0,57.0,0.0,-0.45,0.28,-0.59,0.56,-1.31,1.32,-1.77,3.25,-1.85,3.17,-2.08,2.53,-2.39,1.57,-2.82,1.94,-0.04,2.34,0.72,0.49,0.55,0.42,0.44,17.87,3,0
1980,51.0,27.0,0.76,1.54,0.8,1.68,2.85,2.56,1.93,2.61,2.23,-0.17,2.14,-0.5,2.11,-0.87,3.33,-0.36,1.41,-0.54,0.68,-0.73,0.07,-1.21,0.14,-1.51,18.45,2,0
1978,48.0,33.0,0.29,-1.18,0.91,-0.76,0.29,-1.31,1.02,-1.8,4.01,-1.41,2.47,-1.78,2.48,-2.2,2.37,-2.2,0.23,-3.08,0.9,-2.98,1.06,0.24,0.37,0.11,16.400000000000002,4,0
1976,35.0,20.0,0.28,-0.26,0.25,-0.55,0.68,-0.78,2.71,-0.28,2.17,-0.54,0.66,-1.55,1.78,-2.07,0.68,-3.03,3.79,1.12,1.07,1.24,0.3,-0.18,0.01,-0.57,14.38,3,1
1974,34.0,30.0,0.2,-0.01,0.18,-0.15,0.93,-0.26,2.25,0.31,1.32,-0.89,4.56,-0.14,1.55,-0.64,2.26,-0.44,0.11,-1.11,1.4,-0.89,0.79,-0.77,0.41,-0.73,15.96,2,0
