Year,Sor_Yield,Corn_Yield,PCP1,PDSI1,PCP2,PDSI2,PCP3,PDSI3,PCP4,PDSI4,PCP5,PDSI5,PCP6,PDSI6,PCP7,PDSI7,PCP8,PDSI8,PCP9,PDSI9,PCP10,PDSI10,PCP11,PDSI11,PCP12,PDSI12,PCP,DCount,WCount
2018,91.6,106.5,0.63,-0.55,0.42,-0.53,0.59,-1.03,1.09,-1.12,4.0,-1.11,4.44,0.1,3.72,0.32,2.57,0.34,1.62,0.11,3.31,1.53,0.59,1.43,1.63,2.34,24.61,0,4
2017,81.5,107.8,1.03,0.46,0.05,-0.57,2.11,0.06,2.25,0.15,6.27,1.67,2.32,1.27,2.66,1.17,2.94,1.58,2.95,2.17,1.78,2.4,0.1,-0.54,0.09,-0.78,24.55,0,4
2016,91.9,103.4,0.12,-0.25,0.87,-0.06,0.39,-0.84,5.59,1.77,2.66,1.58,1.67,0.74,2.8,0.63,2.6,0.75,3.52,1.69,0.05,-0.79,0.33,-1.25,0.47,-0.01,21.069999999999997,0,4
2011,76.3,78.0,0.37,-0.72,0.5,-0.61,0.67,-0.95,2.07,-0.77,3.57,-0.42,2.31,-0.81,4.59,0.52,4.08,1.26,0.66,0.64,3.05,1.71,0.45,1.42,0.61,1.44,22.93,1,3
2010,81.0,83.4,0.12,4.84,0.41,4.53,2.02,4.7,3.36,5.2,2.96,5.16,3.52,5.24,2.32,5.21,2.44,5.15,1.52,4.71,0.32,-0.48,0.37,-0.66,0.24,-0.75,19.6,0,4
2009,79.0,108.0,0.13,2.39,0.43,2.08,0.16,1.31,3.26,2.04,4.12,2.43,3.82,2.74,3.98,3.52,3.4,4.28,2.27,4.58,3.77,6.1,0.53,5.5,0.78,5.43,26.650000000000002,0,4
2008,79.0,63.0,0.11,-0.81,0.39,-0.8,0.6,-1.22,2.06,0.23,4.39,0.81,2.01,0.28,3.59,0.49,3.62,1.18,1.96,1.28,4.83,3.43,0.67,3.14,0.31,2.82,24.540000000000003,0,4
2006,49.0,38.0,0.31,-0.57,0.04,-0.91,1.21,-1.07,0.78,-1.86,2.07,-2.76,3.74,-2.84,1.5,-3.77,3.33,0.15,2.02,0.34,2.67,1.25,0.12,0.73,2.66,2.48,20.450000000000003,2,2
2005,69.0,60.0,0.43,0.42,0.61,0.31,1.65,0.25,2.49,0.51,2.9,0.23,3.86,0.3,3.05,0.17,3.64,0.75,0.64,-0.78,2.77,0.93,0.62,-0.1,0.18,-0.33,22.84,1,3
2004,36.0,41.0,0.22,-4.13,0.58,-3.72,0.96,-4.02,2.38,-3.58,0.96,-4.76,3.06,-4.68,5.71,1.08,1.02,0.07,3.11,0.56,1.25,0.46,1.8,1.03,0.08,0.53,21.13,1,3
1999,94.0,107.0,0.31,-0.32,0.07,-0.84,1.24,-0.9,2.97,0.67,2.11,0.13,4.63,0.7,2.99,0.68,5.43,2.37,1.09,-0.13,0.14,-0.67,0.2,-1.25,0.28,-1.4,21.46,0,3
1997,70.0,72.0,0.07,-0.59,1.09,-0.01,0.03,-0.81,0.89,-1.05,1.67,-1.68,3.18,-1.72,2.38,-1.93,4.04,0.85,1.78,0.7,3.31,1.95,0.61,1.81,0.79,1.95,19.839999999999996,2,2
1996,78.0,89.0,0.42,2.58,0.07,1.95,0.49,1.4,1.17,0.83,4.72,1.35,4.84,1.85,4.16,2.47,4.5,3.6,3.05,4.25,0.29,-0.41,0.93,-0.09,0.07,-0.35,24.709999999999997,0,4
1995,45.0,35.0,0.71,4.23,0.19,3.53,1.49,3.38,2.37,3.65,7.94,6.21,2.56,5.93,3.21,6.3,0.84,5.37,1.76,5.09,0.62,4.39,0.29,3.61,0.02,2.89,22.0,0,4
1994,79.0,69.0,0.81,7.23,0.41,6.8,0.09,5.73,3.18,6.17,1.18,4.84,3.37,4.65,4.65,5.57,1.79,5.21,0.8,4.37,1.78,4.37,1.54,4.52,0.76,4.36,20.360000000000003,0,4
1993,66.0,75.0,0.87,3.48,1.7,4.22,1.27,4.04,1.26,3.68,2.85,3.43,2.2,3.02,8.6,5.95,7.09,9.01,1.03,8.69,1.36,8.45,0.94,8.12,0.16,7.34,29.330000000000002,0,4
1992,70.0,74.0,1.27,1.83,0.97,1.86,2.27,2.09,0.22,-0.82,1.33,-1.72,4.27,0.52,5.37,1.92,5.51,3.94,1.2,3.74,1.55,3.76,0.81,3.63,0.47,3.37,25.24,0,4
1987,73.0,70.0,0.23,0.18,1.17,0.53,3.34,1.59,1.31,1.19,3.98,1.28,3.59,1.29,3.84,1.75,2.01,0.0,0.79,-0.4,0.2,-0.83,1.2,0.25,0.61,0.37,22.269999999999996,0,2
1985,61.0,76.0,0.84,3.06,0.35,2.79,0.53,2.12,2.22,1.99,3.93,2.09,1.13,1.24,5.49,2.42,1.64,2.02,2.13,2.25,1.42,2.33,0.55,2.16,0.39,-0.02,20.62,0,4
1984,56.0,50.0,0.56,1.72,1.01,1.92,2.47,2.53,4.84,4.28,2.41,3.91,2.29,3.62,1.08,2.9,1.77,2.39,0.34,1.52,3.91,3.19,0.27,2.69,0.94,2.92,21.89,0,4
1983,43.0,36.0,0.2,3.05,0.85,3.06,2.85,3.78,1.83,3.89,3.56,4.26,3.07,4.35,1.55,3.97,1.06,2.91,0.86,2.07,0.53,1.47,1.85,2.06,0.33,1.78,18.540000000000003,0,4
1982,63.0,64.0,0.21,1.19,0.63,1.23,0.62,0.74,1.54,0.66,5.35,1.67,5.27,2.77,2.95,3.11,1.9,2.98,1.75,2.95,1.59,3.07,0.54,2.76,1.59,3.5,23.939999999999998,0,4
1981,67.0,81.0,0.58,-1.3,0.15,-1.48,3.06,0.77,3.31,1.11,7.28,3.23,0.73,2.24,3.65,2.7,1.89,2.49,0.76,1.82,0.41,1.28,1.84,1.79,0.26,1.5,23.92,0,4
1979,68.0,55.0,0.92,0.45,0.07,0.07,3.0,0.85,1.35,0.55,3.33,0.67,3.69,0.88,4.74,1.77,2.68,1.96,0.17,0.89,2.19,1.38,0.61,1.31,0.8,1.39,23.550000000000004,0,4
1975,40.0,25.0,0.09,-0.97,0.35,-0.99,0.75,-1.12,1.59,-1.12,4.7,0.65,6.6,2.11,2.46,2.14,2.48,2.23,0.9,1.76,0.04,0.93,2.65,2.24,0.06,-0.23,22.669999999999995,0,4
1973,47.0,50.0,0.72,1.3,0.14,0.95,4.39,2.53,2.29,2.9,2.61,2.78,2.05,2.39,4.13,3.22,1.4,2.75,5.41,4.9,1.01,4.69,1.17,4.69,1.07,4.9,26.39,0,4
1972,54.0,37.0,0.21,-0.35,0.04,-0.66,0.32,-1.41,1.36,-1.69,4.08,0.2,3.9,0.28,3.23,0.36,2.65,0.42,1.44,-0.19,0.61,-0.44,2.1,1.07,0.62,1.14,20.560000000000002,0,3
