Year,Sor_Yield,Corn_Yield,PCP1,PDSI1,PCP2,PDSI2,PCP3,PDSI3,PCP4,PDSI4,PCP5,PDSI5,PCP6,PDSI6,PCP7,PDSI7,PCP8,PDSI8,PCP9,PDSI9,PCP10,PDSI10,PCP11,PDSI11,PCP12,PDSI12,PCP,DCount,WCount
2013,45.9,23.9,0.49,-2.82,0.79,-2.38,0.26,-2.61,0.57,-2.67,0.81,-3.6,2.81,-3.74,2.31,-3.77,4.77,-2.3,2.34,-1.92,1.33,-1.63,0.77,-1.47,0.2,-1.52,17.45,4,0
2012,35.3,17.2,0.03,-2.47,0.72,-2.11,1.83,-1.93,2.55,-1.43,0.54,-2.61,1.36,-3.38,1.58,-3.97,1.74,-4.07,1.77,-3.71,1.13,-3.3,0.05,-3.63,0.67,-3.14,13.97,4,0
2011,22.9,28.0,0.19,-1.29,0.3,-1.33,0.54,-1.59,1.08,-1.85,0.61,-2.9,1.4,-3.8,1.15,-4.74,1.59,-5.19,0.83,-5.22,1.38,-4.65,1.29,-3.9,1.86,-2.38,12.219999999999999,4,0
2008,53.0,30.0,0.21,-0.15,0.47,-0.16,0.18,-0.65,1.17,-0.74,2.03,-1.23,1.98,-1.72,2.05,-2.01,3.61,0.55,1.13,0.19,5.33,2.55,0.3,2.21,0.1,1.82,18.56,2,2
2006,51.0,31.0,0.16,-0.93,0.0,-1.31,1.02,-1.57,0.55,-2.39,1.78,-3.1,2.62,-3.41,2.53,-3.56,4.3,0.8,1.42,0.63,2.13,1.09,0.09,0.54,3.3,2.65,19.900000000000002,2,2
2003,47.0,23.0,0.04,-2.07,0.85,-1.63,1.37,-1.38,1.38,-1.39,2.89,-1.42,4.5,-0.6,0.77,-1.57,3.04,-1.3,2.1,-0.88,0.14,-1.51,0.2,-1.72,0.44,-1.65,17.720000000000002,4,0
2002,36.0,19.0,0.51,-1.43,0.19,-1.59,0.1,-1.97,1.1,-2.38,1.12,-3.19,1.83,-3.88,1.47,-4.45,3.5,-3.64,1.39,-3.57,2.57,-2.25,0.11,-2.27,0.62,-1.92,14.51,4,0
2000,51.0,43.0,0.38,-0.93,0.28,-1.27,4.62,1.62,1.62,1.62,2.01,-0.46,1.85,-0.69,3.56,-0.15,1.02,-1.0,0.15,-1.91,3.84,1.44,0.41,1.3,0.18,1.02,19.919999999999998,3,0
1991,72.0,30.0,0.26,-0.78,0.02,-1.29,1.13,-1.41,1.1,-1.69,3.34,-1.76,2.78,-2.0,2.29,-2.22,2.49,-2.08,0.65,-2.54,1.03,-2.39,1.8,0.8,1.31,1.38,18.199999999999996,4,0
1988,70.0,32.0,0.84,-0.06,0.06,-0.36,0.59,-0.6,2.78,0.7,2.44,-0.23,1.22,-1.04,2.47,-1.1,1.23,-1.76,3.28,-0.65,0.39,-1.0,0.23,-1.33,0.03,-1.63,15.559999999999999,4,0
1984,64.0,37.0,0.51,0.32,0.34,0.03,2.35,0.74,3.97,2.14,2.54,1.98,1.81,1.71,2.67,1.82,1.13,-0.6,0.67,-1.07,3.23,1.27,0.16,0.94,1.7,1.84,21.08,2,2
1983,48.0,33.0,0.51,0.28,1.19,0.68,1.7,0.99,2.03,1.45,3.07,1.68,4.19,2.5,0.34,-0.61,0.65,-1.72,1.22,-2.01,1.35,0.03,1.1,0.17,0.63,0.3,17.980000000000004,3,1
1982,62.0,42.0,0.15,0.4,0.76,0.53,1.25,0.54,0.99,0.33,3.16,0.34,3.53,0.7,3.59,1.05,0.72,-0.94,1.18,-1.23,1.21,-1.08,0.3,-1.24,0.86,0.27,17.7,2,2
1978,57.0,25.0,0.27,-1.42,1.11,-0.9,0.59,-1.15,0.48,-1.73,5.73,1.1,3.99,1.53,1.17,-0.74,1.22,-1.35,1.28,-1.6,0.15,-2.08,1.02,0.16,0.24,-0.16,17.25,3,1
1977,57.0,30.0,0.34,-1.33,0.07,-1.7,0.26,-2.29,3.42,-1.53,4.57,-0.96,1.41,-1.7,2.13,-2.14,4.51,-0.94,1.8,-0.95,0.67,-1.22,0.6,-1.25,0.21,-1.39,19.990000000000006,4,0
1976,42.0,26.0,0.02,-1.55,0.21,-1.84,0.51,-2.04,4.85,1.37,2.93,1.48,0.61,-0.74,1.43,-1.18,1.46,-1.6,2.82,-0.8,0.72,-0.8,0.1,-1.06,0.01,-1.35,15.67,4,0
1975,48.0,26.0,0.18,-0.6,0.49,-0.59,0.78,-0.69,1.59,0.02,4.3,0.49,3.45,0.73,1.09,-0.78,1.82,-1.21,0.25,-1.9,0.01,-2.47,2.24,-1.25,0.15,-1.38,16.349999999999998,3,1
1974,47.0,29.0,0.27,-0.04,0.01,-0.41,1.54,-0.25,0.79,-0.61,1.22,-1.58,2.66,-1.63,1.33,-2.26,3.74,0.75,0.63,-0.41,1.84,-0.08,0.57,-0.23,0.22,-0.39,14.820000000000002,2,1
