Year,Sor_Yield,Corn_Yield,PCP1,PDSI1,PCP2,PDSI2,PCP3,PDSI3,PCP4,PDSI4,PCP5,PDSI5,PCP6,PDSI6,PCP7,PDSI7,PCP8,PDSI8,PCP9,PDSI9,PCP10,PDSI10,PCP11,PDSI11,PCP12,PDSI12,PCP,DCount,WCount
2018,86.1,85.7,0.05,-1.11,0.04,-1.36,0.37,-1.99,1.01,-2.05,2.58,-2.64,4.4,0.12,5.43,1.13,3.81,1.72,2.38,1.84,4.13,3.43,0.34,3.06,1.43,3.59,25.969999999999995,0,4
2017,86.1,85.2,1.54,2.48,0.06,1.7,2.55,1.98,4.93,3.42,2.9,3.37,1.66,2.93,3.36,3.25,2.66,3.37,2.52,3.58,1.19,0.04,0.01,-0.57,0.0,-0.87,23.380000000000003,0,4
2016,93.5,91.5,0.11,3.91,0.27,3.26,0.09,2.26,5.47,3.84,1.48,3.16,4.03,3.63,4.73,4.65,2.88,4.86,0.82,3.98,0.14,2.85,0.21,2.0,0.47,1.82,20.7,0,4
2015,92.6,79.7,0.55,0.56,0.73,0.62,0.43,-0.52,1.36,-0.79,8.43,2.31,2.58,2.35,4.68,3.45,3.04,3.84,0.83,2.97,3.79,4.12,1.38,4.29,1.23,4.51,29.029999999999994,0,4
2014,66.3,63.1,0.21,-1.57,0.46,-1.47,0.28,-1.77,0.74,-2.09,0.82,-3.12,6.04,0.92,3.59,1.21,2.06,0.68,1.79,0.54,1.82,0.71,0.12,0.26,0.99,0.58,18.92,0,4
2013,45.9,23.9,0.49,-2.82,0.79,-2.38,0.26,-2.61,0.57,-2.67,0.81,-3.6,2.81,-3.74,2.31,-3.77,4.77,-2.3,2.34,-1.92,1.33,-1.63,0.77,-1.47,0.2,-1.52,17.45,4,0
2012,35.3,17.2,0.03,-2.47,0.72,-2.11,1.83,-1.93,2.55,-1.43,0.54,-2.61,1.36,-3.38,1.58,-3.97,1.74,-4.07,1.77,-3.71,1.13,-3.3,0.05,-3.63,0.67,-3.14,13.97,4,0
2011,22.9,28.0,0.19,-1.29,0.3,-1.33,0.54,-1.59,1.08,-1.85,0.61,-2.9,1.4,-3.8,1.15,-4.74,1.59,-5.19,0.83,-5.22,1.38,-4.65,1.29,-3.9,1.86,-2.38,12.219999999999999,4,0
2010,71.0,51.1,0.5,2.03,0.68,2.03,1.71,2.19,1.34,-0.08,2.42,-0.19,2.69,-0.26,3.19,0.31,2.72,0.41,0.53,-0.82,0.56,-1.19,0.79,-1.08,0.21,-1.2,17.34,1,2
2009,83.0,71.0,0.04,1.38,0.19,0.91,1.17,0.77,3.44,1.7,1.13,0.92,4.18,1.47,3.23,1.86,2.18,1.78,1.56,1.69,2.97,2.79,0.5,2.52,0.2,2.15,20.789999999999996,0,4
